HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD192310,2453485.26171,-0.98,1.40,UCLES,-1.0000,-1.0000,0.6894,0.0026,ru73.377
HD192310,2453485.26481,1.17,1.43,UCLES,-1.0000,-1.0000,0.6922,0.0026,ru73.378
HD192310,2453487.27497,1.84,1.31,UCLES,-1.0000,-1.0000,0.6896,0.002,ru73.693
HD192310,2453487.27920,3.71,1.30,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru73.694
HD192310,2453487.28343,1.19,1.45,UCLES,-1.0000,-1.0000,0.6867,0.0023,ru73.695
HD192310,2453487.28766,2.62,1.45,UCLES,-1.0000,-1.0000,0.6895,0.0024,ru73.696
HD192310,2453507.27723,5.44,1.54,UCLES,-1.0000,-1.0000,0.6863,0.0028,ru74.100
HD192310,2453507.28146,8.06,1.56,UCLES,-1.0000,-1.0000,0.6870,0.0027,ru74.101
HD192310,2453507.28568,5.37,1.47,UCLES,-1.0000,-1.0000,0.6856,0.0027,ru74.102
HD192310,2453507.28991,6.94,1.44,UCLES,-1.0000,-1.0000,0.6874,0.0026,ru74.103
HD192310,2453509.19778,3.06,1.59,UCLES,-1.0000,-1.0000,0.6858,0.0029,ru74.406
HD192310,2453509.20201,3.22,1.44,UCLES,-1.0000,-1.0000,0.6882,0.0028,ru74.407
HD192310,2453509.20623,7.58,1.68,UCLES,-1.0000,-1.0000,0.6873,0.0031,ru74.408
HD192310,2453509.21046,4.48,1.63,UCLES,-1.0000,-1.0000,0.6878,0.0028,ru74.409
HD192310,2453516.22915,-1.64,1.75,UCLES,-1.0000,-1.0000,0.6835,0.003,ru75.101
HD192310,2453516.23511,1.38,1.73,UCLES,-1.0000,-1.0000,0.6844,0.003,ru75.102
HD192310,2453516.24108,-6.98,1.77,UCLES,-1.0000,-1.0000,0.6827,0.0034,ru75.103
HD192310,2453516.24704,2.73,1.66,UCLES,-1.0000,-1.0000,0.6853,0.0029,ru75.104
HD192310,2453517.28390,-4.80,1.42,UCLES,-1.0000,-1.0000,0.6871,0.0019,ru75.275
HD192310,2453517.28987,-2.53,1.31,UCLES,-1.0000,-1.0000,0.6869,0.0019,ru75.276
HD192310,2453517.29584,0.78,1.41,UCLES,-1.0000,-1.0000,0.6898,0.0018,ru75.277
HD192310,2453520.30461,0.52,1.46,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru75.712
HD192310,2453520.31057,2.21,1.42,UCLES,-1.0000,-1.0000,0.6857,0.0022,ru75.713
HD192310,2453520.31654,0.36,1.35,UCLES,-1.0000,-1.0000,0.6896,0.002,ru75.714
HD192310,2453521.25355,4.31,1.39,UCLES,-1.0000,-1.0000,0.6864,0.0019,ru75.866
HD192310,2453521.25952,4.92,1.46,UCLES,-1.0000,-1.0000,0.6866,0.0022,ru75.867
HD192310,2453522.17832,2.43,1.39,UCLES,-1.0000,-1.0000,0.6859,0.0019,ru75.1032
HD192310,2453522.18428,0.77,1.36,UCLES,-1.0000,-1.0000,0.6864,0.0018,ru75.1033
HD192310,2453522.19024,3.06,1.34,UCLES,-1.0000,-1.0000,0.6889,0.0019,ru75.1034
HD192310,2453523.26145,3.22,1.65,UCLES,-1.0000,-1.0000,0.6864,0.0029,ru75.1227
HD192310,2453523.26678,2.55,1.56,UCLES,-1.0000,-1.0000,0.6858,0.0025,ru75.1228
HD192310,2453523.27101,3.74,1.47,UCLES,-1.0000,-1.0000,0.6861,0.0023,ru75.1229
HD192310,2453569.15104,-3.19,1.73,UCLES,-1.0000,-1.0000,0.6847,0.0031,ru76.288
HD192310,2453569.15527,-2.02,1.67,UCLES,-1.0000,-1.0000,0.6824,0.003,ru76.289
HD192310,2453569.15950,-1.78,1.73,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru76.290
HD192310,2453569.16374,0.05,1.58,UCLES,-1.0000,-1.0000,0.6843,0.0032,ru76.291
HD192310,2453570.12074,1.37,1.53,UCLES,-1.0000,-1.0000,0.6864,0.0026,ru76.593
HD192310,2453570.12614,-1.32,1.45,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru76.594
HD192310,2453570.13153,-0.58,1.55,UCLES,-1.0000,-1.0000,0.6857,0.0026,ru76.595
HD192310,2453570.13692,-0.46,1.40,UCLES,-1.0000,-1.0000,0.6853,0.0024,ru76.596
HD192310,2453571.15558,-2.99,1.52,UCLES,-1.0000,-1.0000,0.6837,0.0028,ru76.895
HD192310,2453571.15981,-1.28,1.60,UCLES,-1.0000,-1.0000,0.6839,0.0027,ru76.896
HD192310,2453571.16404,-3.34,1.37,UCLES,-1.0000,-1.0000,0.6857,0.0027,ru76.897
HD192310,2453571.16829,-1.45,1.48,UCLES,-1.0000,-1.0000,0.6878,0.0025,ru76.898
HD192310,2453572.18736,-6.19,1.42,UCLES,-1.0000,-1.0000,0.6864,0.0026,ru76.1206
HD192310,2453572.19274,-1.40,1.48,UCLES,-1.0000,-1.0000,0.6878,0.0026,ru76.1207
HD192310,2453572.19812,-2.97,1.52,UCLES,-1.0000,-1.0000,0.6863,0.0027,ru76.1208
HD192310,2453572.20350,-2.47,1.56,UCLES,-1.0000,-1.0000,0.6868,0.0028,ru76.1209
HD192310,2453573.08579,3.62,1.61,UCLES,-1.0000,-1.0000,0.6704,0.0024,ru76.1482
HD192310,2453573.09118,3.57,1.45,UCLES,-1.0000,-1.0000,0.6764,0.0022,ru76.1483
HD192310,2453573.09656,-0.71,1.46,UCLES,-1.0000,-1.0000,0.6754,0.0022,ru76.1484
HD192310,2453573.10194,2.77,1.44,UCLES,-1.0000,-1.0000,0.6761,0.0023,ru76.1485
HD192310,2453574.10947,-2.52,1.23,UCLES,-1.0000,-1.0000,0.6869,0.002,ru76.1835
HD192310,2453574.11428,-2.39,1.20,UCLES,-1.0000,-1.0000,0.6868,0.0019,ru76.1836
HD192310,2453574.11910,-4.37,1.30,UCLES,-1.0000,-1.0000,0.6870,0.002,ru76.1837
HD192310,2453574.12390,1.04,1.23,UCLES,-1.0000,-1.0000,0.6859,0.0021,ru76.1838
HD192310,2453576.07050,-0.52,1.33,UCLES,-1.0000,-1.0000,0.6905,0.002,ru76.2200
HD192310,2453576.07473,1.43,1.30,UCLES,-1.0000,-1.0000,0.6908,0.002,ru76.2201
HD192310,2453576.07898,-0.80,1.21,UCLES,-1.0000,-1.0000,0.6891,0.002,ru76.2202
HD192310,2453576.08322,-0.24,1.17,UCLES,-1.0000,-1.0000,0.6902,0.002,ru76.2203
HD192310,2453577.09474,-1.01,1.21,UCLES,-1.0000,-1.0000,0.6902,0.0019,ru76.2507
HD192310,2453577.09897,0.36,1.16,UCLES,-1.0000,-1.0000,0.6903,0.0019,ru76.2508
HD192310,2453577.10321,-1.95,1.28,UCLES,-1.0000,-1.0000,0.6905,0.0019,ru76.2509
HD192310,2453577.10743,0.12,1.24,UCLES,-1.0000,-1.0000,0.6889,0.002,ru76.2510
HD192310,2453579.02910,-2.33,1.34,UCLES,-1.0000,-1.0000,0.6902,0.0021,ru76.2992
HD192310,2453579.03332,-1.11,1.34,UCLES,-1.0000,-1.0000,0.6908,0.002,ru76.2993
HD192310,2453579.03755,-1.31,1.22,UCLES,-1.0000,-1.0000,0.6935,0.002,ru76.2994
HD192310,2453579.04178,-2.41,1.29,UCLES,-1.0000,-1.0000,0.6876,0.0021,ru76.2995
HD192310,2453626.08728,-16.08,6.26,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru77.2472
HD192310,2453626.09272,-3.09,3.35,UCLES,-1.0000,-1.0000,0.6781,0.007,ru77.2473
HD192310,2453628.01934,0.14,1.82,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru77.2654
