 89627 95735     j    rj13.1701  2453696.093507      0.68  0.895795   0.527   117944.0 
 89628 95735     j    rj13.1702  2453696.095532      3.51  0.887554   0.525   118982.0 
 89629 95735     j    rj13.2259  2453697.120162     -0.39  1.007938   0.498   120414.0 
 89630 95735     j    rj13.2260  2453697.122523     -0.01  0.909724   0.5     119677.0 
 89631 95735     j    rj13.2261  2453697.12485       1.12  1.006137   0.501   120512.0 
 89632 95735     j    rj14.195   2453724.154306      2.66  0.93102    0.42    119297.0 
 89633 95735     j    rj14.196   2453724.158056      2.61  1.009461   0.42    117872.0 
 89634 95735     j    rj14.689   2453725.054664      2.48  0.985277   0.424   118579.0 
 89635 95735     j    rj14.690   2453725.057118      2.47  1.020446   0.426   117729.0 
 89636 95735     j    rj15.214   2453747.059375      0.80  1.024322   0.463   118090.0 
 89637 95735     j    rj15.580   2453747.965903      1.59  0.925108   0.479   117412.0 
 89638 95735     j    rj15.581   2453747.968843      2.00  0.954607   0.48    115945.0 
 89639 95735     j    rj15.1002  2453748.929502      0.77  1.109627   0.482   118050.0 
 89640 95735     j    rj15.1294  2453749.92162       0.50  1.028438   0.478   117080.0 
 89641 95735     j    rj15.1513  2453750.931123     -1.98  1.024284   0.504   116960.0 
 89642 95735     j    rj15.2003  2453753.08684       4.37  0.912157   0.528   115727.0 
 89643 95735     j    rj15.2004  2453753.089016      2.82  0.887693   0.523   113683.0 
 89644 95735     j    rj15.2415  2453754.052072      2.92  0.972459   0.574   117146.0 
 89645 95735     j    rj15.2416  2453754.054329      2.23  0.907853   0.572   118862.0 
 89646 95735     j    rj16.232   2453776.059769     -1.92  0.994808   0.421   117934.0 
 89647 95735     j    rj16.233   2453776.06191      -0.49  0.904195   0.419   117183.0 
 89648 95735     j    rj17.110   2453806.841991      3.54  0.990927   0.491   117363.0 
 89649 95735     j    rj17.111   2453806.844745      2.67  1.018747   0.492   116769.0 
 89650 95735     j    rj32.152   2454246.861343     -0.73  0.911937   0.5      82978.0 
 89651 95735     j    rj32.153   2454246.863264     -2.55  0.927397   0.499    81841.0 
 89652 95735     j    rj32.515   2454247.831759     -3.03  0.964591   0.459    82660.0 
 89653 95735     j    rj32.951   2454248.933021     -1.57  0.887718   0.487    85655.0 
 89654 95735     j    rj32.1308  2454249.794387     -2.70  0.982871   0.466    83939.0 
 89655 95735     j    rj32.1723  2454250.831389     -3.06  0.920647   0.461    84606.0 
 89656 95735     j    rj32.2141  2454251.884931     -1.82  0.953955   0.482    83037.0 
 89657 95735     j    rj33.167   2454255.860185      1.25  0.830373   0.475    62023.0 
 89658 95735     j    rj33.168   2454255.861528      0.69  0.849134   0.473    61342.0 
 89659 95735     j    rj35.234   2454277.807245     -3.01  0.961535   0.472    82818.0 
 89660 95735     j    rj35.435   2454278.82735      -2.70  0.94407    0.454    83832.0 
 89661 95735     j    rj35.839   2454279.818704     -1.45  0.864497   0.503    82372.0 
 89662 95735     j    rj36.132   2454285.845451     -4.83  1.110464   0.503    45283.0 
 89663 95735     j    rj38.128   2454294.78088      -0.24  0.947667   0.465    83239.0 
 89664 95735     j    rj39.122   2454300.751458      0.74  0.91353    0.543    82282.0 
 89665 95735     j    rj41.119   2454304.7725       -3.16  1.098168   0.486    82838.0 
 89666 95735     j    rj41.518   2454305.769479     -3.12  1.005503   0.472    83719.0 
 89667 95735     j    rj41.519   2454305.771794     -4.59  1.036497   0.471    82887.0 
 89668 95735     j    rj41.911   2454306.77662      -2.83  0.988343   0.488    85234.0 
 89669 95735     j    rj41.1315  2454307.75191       0.08  1.05958    0.525    83497.0 
 89670 95735     j    rj41.1316  2454307.754954     -2.00  0.934053   0.513    83277.0 
 89671 95735     j    rj41.1720  2454308.754479      0.23  0.958551   0.49     84118.0 
 89672 95735     j    rj41.1721  2454308.757234     -0.33  1.005746   0.481    84868.0 
 89673 95735     j    rj41.2113  2454309.751007     -1.30  1.02279    0.502    85494.0 
 89674 95735     j    rj41.2511  2454310.746586      0.87  0.999429   0.493    84055.0 
 89675 95735     j    rj41.2512  2454310.748785      0.05  0.928222   0.49     84319.0 
 89676 95735     j    rj41.2911  2454311.747303      0.61  0.981521   0.53     83264.0 
 89677 95735     j    rj41.3315  2454312.744838      2.55  0.950424   0.498    83251.0 
 89678 95735     j    rj41.3710  2454313.747153     -1.34  1.129809   0.525    84586.0 
 89679 95735     j    rj41.4113  2454314.756019     -5.60  1.071496   0.705    85294.0 
 89680 95735     j    rj42.111   2454318.750625      1.77  0.93354    0.451   163507.0 
 89681 95735     j    rj49.584   2454455.050185     -0.59  1.034533   0.515    82672.0 
 89682 95735     j    rj49.609   2454455.151898     -0.32  1.048402   0.505    84431.0 
 89683 95735     j    rj49.1009  2454456.106887     -0.06  1.085451   0.502    83597.0 
 89684 95735     j    rj49.1029  2454456.172419     -2.44  1.047397   0.496    85410.0 
 89685 95735     j    rj49.1623  2454458.15706      -5.19  1.186584   0.497    52863.0 
