tel	time	mnvel	errvel
HIRES-post	2455311.799042	-9.64	1.032415
HIRES-post	2455312.861366	-7.9	0.837782
HIRES-post	2455312.862663	-9.02	0.866758
HIRES-post	2455312.863936	-9.01	0.871057
HIRES-post	2455313.76037	-5.85	0.921623
HIRES-post	2455313.761736	-4.35	0.854682
HIRES-post	2455313.762951	-6.53	0.823484
HIRES-post	2455314.789942	-8.1	1.006913
HIRES-post	2455314.791759	-8.46	1.035315
HIRES-post	2455314.793298	-7.44	0.923051
HIRES-post	2455319.879068	-2.79	1.062558
HIRES-post	2455319.883894	-1.95	0.85576
HIRES-post	2455319.886105	-2.01	0.913398
HIRES-post	2455339.828891	-5.46	1.008375
HIRES-post	2455342.880408	-2.98	1.042494
HIRES-post	2455342.882005	-2.27	0.963848
HIRES-post	2455342.883521	-1.91	0.930647
HIRES-post	2455522.11724	0.02	0.867432
HIRES-post	2455522.118594	-0.1	0.954795
HIRES-post	2455522.119983	-0.62	0.929268
HIRES-post	2455635.03064	-2.95	1.013033
HIRES-post	2455671.919221	-0.24	1.028032
HIRES-post	2455722.765012	-0.82	0.945807
HIRES-post	2455728.768942	-4.77	0.884662
HIRES-post	2455728.770365	-6.32	0.961398
HIRES-post	2455728.771788	-5.01	1.03963
HIRES-post	2455728.773235	-2.82	1.057864
HIRES-post	2455728.774786	-5.86	0.993956
HIRES-post	2455728.842315	-6.16	1.134876
HIRES-post	2455728.844445	-2.54	1.098734
HIRES-post	2455728.846968	-2.34	1.080405
HIRES-post	2455731.756922	-1.12	1.005684
HIRES-post	2455733.742542	-5.94	0.935254
HIRES-post	2455733.743977	-4.48	1.027759
HIRES-post	2455733.745436	-3.71	1.002333
HIRES-post	2455734.7898	-4.69	0.900142
HIRES-post	2455734.791061	-5.92	0.935477
HIRES-post	2455734.792357	-3.03	0.932412
HIRES-post	2455749.782838	-2.35	1.043256
HIRES-post	2455912.093625	6.86	0.834821
HIRES-post	2455912.095755	3.86	0.978355
HIRES-post	2456018.847367	-0.64	1.029933
HIRES-post	2456018.849034	-0.66	1.06782
HIRES-post	2456018.850746	-0.2	1.100358
HIRES-post	2456024.913226	3.03	0.924354
HIRES-post	2456024.915622	2.82	0.88541
HIRES-post	2456144.729598	2.57	1.100862
HIRES-post	2456144.731253	0.56	1.171261
HIRES-post	2456144.732943	2.69	1.195817
HIRES-post	2456145.730393	0.83	1.13389
HIRES-post	2456446.777773	1.65	0.936891
HIRES-post	2456448.808572	-0.89	0.96411
HIRES-post	2456449.793882	-0.09	0.929166
HIRES-post	2456450.807442	0.05	0.868232
HIRES-post	2456451.80377	0.7	0.945943
HIRES-post	2456472.749517	0.19	0.979521
HIRES-post	2456473.749435	-0.99	0.906814
HIRES-post	2456474.735061	-2.98	0.872591
HIRES-post	2456475.741762	-4.25	0.957659
HIRES-post	2456476.74203	-0.45	0.953281
HIRES-post	2456477.742623	-3.62	0.956934
HIRES-post	2456478.741134	-0.66	1.081854
HIRES-post	2456482.743276	3.24	0.975328
HIRES-post	2456483.740773	3.44	1.017902
HIRES-post	2456484.740308	1.45	0.942166
HIRES-post	2456485.736592	1.61	0.917079
HIRES-post	2456486.73694	-0.08	0.931608
HIRES-post	2456487.737138	-0.69	0.939983
HIRES-post	2456488.733309	-1.41	0.95379
HIRES-post	2456489.746541	-2.13	0.960357
HIRES-post	2456494.739992	4.21	1.421745
HIRES-post	2456506.724881	-1.38	1.054642
HIRES-post	2456512.72653	0.45	1.156753
HIRES-post	2456513.731761	-3.63	1.143176
HIRES-post	2456614.155137	-2.47	0.98248
HIRES-post	2456615.158096	-0.35	0.872332
HIRES-post	2456674.935309	-4.37	1.05955
HIRES-post	2456674.936721	-2.61	1.178317
HIRES-post	2456674.938156	-4.41	1.167807
HIRES-post	2456676.160939	5.25	0.909207
HIRES-post	2456676.162779	7.97	0.850882
HIRES-post	2456708.89029	-3.04	0.984557
HIRES-post	2456708.891725	-1.12	0.97828
HIRES-post	2456708.893241	-2.13	1.113662
HIRES-post	2456826.736776	-5.83	0.928748
HIRES-post	2456826.738026	-6.38	0.851376
HIRES-post	2456826.739276	-4.59	0.925223
HIRES-post	2456827.741963	-7.95	0.893782
HIRES-post	2456827.743282	-4.46	0.913466
HIRES-post	2456827.744729	-6.8	0.937949
HIRES-post	2456828.738922	-5.99	1.048993
HIRES-post	2456828.740299	-5.06	1.006486
HIRES-post	2456828.741607	-7.39	0.997818
HIRES-post	2456844.735426	1.11	1.00096
HIRES-post	2456844.742069	-5.14	2.270163
HIRES-post	2456855.733401	3.39	1.061666
HIRES-post	2456855.734963	1.45	0.910741
HIRES-post	2456855.736491	4.9	0.862803
HIRES-post	2457201.747391	-1.02	0.879354
HIRES-post	2457201.748687	-1.05	0.949019
HIRES-post	2457201.749972	-0.19	0.943598
HIRES-post	2457209.745592	-0.52	1.078641
HIRES-post	2457209.746842	-0.81	0.966808
HIRES-post	2457209.748081	-1.62	0.929363
HIRES-post	2457213.744183	-0.96	1.066904
HIRES-post	2457213.745584	-2.95	1.007522
HIRES-post	2457213.746973	-0.64	1.067185
HIRES-post	2457216.748461	-0.19	1.012771
HIRES-post	2457216.749746	-2.23	0.969964
HIRES-post	2457216.751065	-0.54	0.944765
HIRES-post	2457586.732588	1.84	0.956524
HIRES-post	2457586.733815	2.59	0.918959
HIRES-post	2457586.73503	1.59	0.898484
HIRES-post	2457718.163649	-4.59	0.867815
HIRES-post	2457718.164922	-5.49	0.875213
HIRES-post	2457718.166196	-2.83	0.936135
HIRES-post	2458439.121814	-0.39	1.713013
HIRES-post	2458491.184334	-2.4	1.08017
HIRES-post	2458491.185642	-1.84	1.040212
HIRES-post	2458491.186926	-1.0	1.073314
HIRES-post	2458491.186926	-1.0	1.073314
HIRES-post	2458491.186926	-1.0	1.073314
HIRES-post	2458491.956211	-4.64	0.991457
HIRES-post	2458491.957612	1.0	1.067504
HIRES-post	2458491.959012	-1.79	1.072286
HIRES-post	2458508.993704	-1.45	1.021046
