tel	time	mnvel	errvel
SOPHIE	2456419.438994	-84616.5	1.2
SOPHIE	2456437.344662	-84617.90000000001	1.8
SOPHIE	2456667.611518	-84621.7	1.3
SOPHIE	2456672.672563	-84621.5	1.8
SOPHIE	2456678.681028	-84620.8	1.9
SOPHIE	2456682.650254	-84619.6	1.4
SOPHIE	2456699.577924	-84618.79999999999	1.7
SOPHIE	2456708.528242	-84620.40000000001	1.6
SOPHIE	2456710.512411	-84621.09999999999	1.5
SOPHIE	2456711.504759	-84620.7	1.4
SOPHIE	2456730.398188	-84617.8	1.1
SOPHIE	2456731.367394	-84617.7	1.3
SOPHIE	2456733.517404	-84616.7	1.2
SOPHIE	2456740.492996	-84611.59999999999	1.4
SOPHIE	2456742.423926	-84615.09999999999	1.1
SOPHIE	2456752.445768	-84614.0	1.3
SOPHIE	2456757.467079	-84616.4	1.2
SOPHIE	2456777.451582	-84617.59999999999	1.3
SOPHIE	2456793.357621	-84615.0	1.3
SOPHIE	2456794.426476	-84618.09999999999	1.4
SOPHIE	2457030.555548	-84617.59999999999	1.4
SOPHIE	2457033.561184	-84619.6	1.5
SOPHIE	2457035.550144	-84616.8	1.2
SOPHIE	2457040.677819	-84616.8	1.2
SOPHIE	2457053.509476	-84617.09999999999	1.4
SOPHIE	2457063.528221	-84613.8	1.1
SOPHIE	2457065.499342	-84614.2	1.0
SOPHIE	2457071.58736	-84615.7	1.1
SOPHIE	2457079.429628	-84614.09999999999	1.4
SOPHIE	2457081.507517	-84617.59999999999	4.4
SOPHIE	2457088.611371	-84614.7	1.3
SOPHIE	2457090.542499	-84615.0	1.1
SOPHIE	2457094.414321	-84618.4	1.4
SOPHIE	2457110.438545	-84618.79999999999	1.3
SOPHIE	2457113.493166	-84618.09999999999	1.3
SOPHIE	2457115.376211	-84613.0	1.2
SOPHIE	2457120.427348	-84616.29999999999	1.3
SOPHIE	2457130.434956	-84612.09999999999	1.4
SOPHIE	2457383.675028	-84618.09999999999	1.1
SOPHIE	2457390.658102	-84615.2	1.6
SOPHIE	2457404.651145	-84614.8	1.3
SOPHIE	2457411.606238	-84611.3	1.1
SOPHIE	2457419.616103	-84611.40000000001	1.2
SOPHIE	2457442.594165	-84612.79999999999	1.4
SOPHIE	2457465.573574	-84609.8	1.2
SOPHIE	2457468.510161	-84611.2	1.3
SOPHIE	2457469.552618	-84610.20000000001	1.1
SOPHIE	2457471.563803	-84613.20000000001	1.6
SOPHIE	2457474.469234	-84612.5	1.3
SOPHIE	2457728.67896	-84608.7	1.3
SOPHIE	2457730.686623	-84611.90000000001	1.1
SOPHIE	2457731.648188	-84612.79999999999	1.0
SOPHIE	2457733.622559	-84610.4	1.2
SOPHIE	2457734.689617	-84610.6	1.1
SOPHIE	2457739.579378	-84610.29999999999	1.4
SOPHIE	2457740.613699	-84608.7	1.1
SOPHIE	2457757.711287	-84611.3	1.3
SOPHIE	2457759.624863	-84612.5	1.1
SOPHIE	2457760.637613	-84609.0	1.1
SOPHIE	2457762.596961	-84609.7	1.2
SOPHIE	2457765.601307	-84610.6	1.3
SOPHIE	2457766.662352	-84610.4	1.2
SOPHIE	2457770.690222	-84614.8	1.4
SOPHIE	2457771.646949	-84613.7	1.0
SOPHIE	2457772.612692	-84612.4	1.0
SOPHIE	2457795.557725	-84612.0	1.4
SOPHIE	2457800.549986	-84609.09999999999	1.1
SOPHIE	2457801.537193	-84607.29999999999	1.1
SOPHIE	2457814.518577	-84606.5	1.2
SOPHIE	2457817.595011	-84608.59999999999	1.3
SOPHIE	2457820.543263	-84609.0	1.8
SOPHIE	2457821.48176	-84612.9	1.4
SOPHIE	2457823.524984	-84613.1	1.1
SOPHIE	2457826.563496	-84610.7	1.2
SOPHIE	2457829.47987	-84609.0	1.0
SOPHIE	2457830.498861	-84609.5	1.1
SOPHIE	2457832.483763	-84608.8	1.1
SOPHIE	2457833.498167	-84611.09999999999	1.5
SOPHIE	2457848.439467	-84609.09999999999	1.2
SOPHIE	2457850.470838	-84609.8	1.1
SOPHIE	2457852.470366	-84607.20000000001	1.0
SOPHIE	2457854.503048	-84606.4	1.1
SOPHIE	2457855.499487	-84606.5	1.1
SOPHIE	2457857.536977	-84608.2	1.1
SOPHIE	2457859.45931	-84609.9	1.7
SOPHIE	2457860.417147	-84610.1	1.4
SOPHIE	2457886.436209	-84613.6	1.3
SOPHIE	2457888.41414	-84610.1	1.2
SOPHIE	2457889.434712	-84612.6	1.2
SOPHIE	2457891.41998	-84609.5	1.3
SOPHIE	2458129.684584	-84608.2	1.6
SOPHIE	2458130.679076	-84608.59999999999	1.3
SOPHIE	2458131.681171	-84607.6	1.3
SOPHIE	2458136.631485	-84608.7	1.3
SOPHIE	2458138.623772	-84608.8	1.4
SOPHIE	2458140.627211	-84608.7	1.2
SOPHIE	2458141.648611	-84611.3	1.5
SOPHIE	2458146.597205	-84614.7	1.2
SOPHIE	2458147.621166	-84611.40000000001	1.2
SOPHIE	2458148.626849	-84612.7	1.3
SOPHIE	2458151.706439	-84611.2	1.3
SOPHIE	2458181.496089	-84612.5	1.0
SOPHIE	2458186.488885	-84615.4	1.0
SOPHIE	2458216.464904	-84612.5	1.5
SOPHIE	2458235.462667	-84603.6	1.5
SOPHIE	2458236.3972	-84609.2	1.3
SOPHIE	2458241.5068	-84604.9	1.6
SOPHIE	2458243.472298	-84613.29999999999	5.1000000000000005
SOPHIE	2458245.475106	-84606.8	1.4
SOPHIE	2458254.461528	-84610.5	1.5
SOPHIE	2458255.371021	-84611.90000000001	1.9
SOPHIE	2458255.479009	-84611.0	1.4
SOPHIE	2458258.351191	-84609.5	1.2
SOPHIE	2458258.465266	-84610.0	1.4
SOPHIE	2458262.349836	-84610.7	1.1
SOPHIE	2458263.363717	-84611.40000000001	1.1
SOPHIE	2458263.479251	-84612.0	1.3
SOPHIE	2458264.362241	-84611.5	1.4
SOPHIE	2458265.351183	-84609.6	1.2
SOPHIE	2458270.410016	-84609.8	1.1
SOPHIE	2458271.391043	-84606.4	1.1
SOPHIE	2458272.420283	-84611.0	1.3
SOPHIE	2458275.407979	-84612.0	1.3
