 80756 75732     j    rj14.165   2453724.053519    -82.51  1.175728   0.197   103532.0 
 80757 75732     j    rj14.166   2453724.054502    -84.19  1.179391   0.198   108275.0 
 80758 75732     j    rj14.167   2453724.055602    -85.14  1.152849   0.197   104379.0 
 80759 75732     j    rj14.168   2453724.056563    -82.42  1.133249   0.197   104479.0 
 80760 75732     j    rj14.169   2453724.057535    -81.91  1.151601   0.197   107289.0 
 80761 75732     j    rj14.660   2453724.99331     -95.24  1.227462   0.196   106143.0 
 80762 75732     j    rj14.661   2453724.99434     -99.03  1.196928   0.196   106132.0 
 80763 75732     j    rj14.662   2453724.995671    -96.88  1.255571   0.196   106523.0 
 80764 75732     j    rj15.206   2453747.024954     40.35  1.088178   0.199   105589.0 
 80765 75732     j    rj15.207   2453747.026076     44.18  1.133089   0.198   103955.0 
 80766 75732     j    rj15.208   2453747.027234     38.80  1.122189   0.198   105658.0 
 80767 75732     j    rj15.574   2453747.95713      52.08  1.111395   0.201   103040.0 
 80768 75732     j    rj15.575   2453747.958079     50.30  1.139292   0.201   104764.0 
 80769 75732     j    rj15.576   2453747.959016     52.05  1.223604   0.2     105619.0 
 80770 75732     j    rj15.998   2453748.922095     44.35  1.1643     0.203   104570.0 
 80771 75732     j    rj15.999   2453748.923206     44.18  1.141105   0.203   106278.0 
 80772 75732     j    rj15.1000  2453748.924306     44.92  1.121475   0.203   106155.0 
 80773 75732     j    rj15.1276  2453749.858391     39.88  1.113723   0.206   103204.0 
 80774 75732     j    rj15.1277  2453749.859282     42.29  1.045587   0.206   105569.0 
 80775 75732     j    rj15.1278  2453749.860255     39.94  1.103083   0.207   104648.0 
 80776 75732     j    rj15.1493  2453750.864907     21.97  1.255205   0.209   101893.0 
 80777 75732     j    rj15.1494  2453750.865775     24.00  1.130879   0.208   102812.0 
 80778 75732     j    rj15.1495  2453750.866632     20.92  1.147401   0.208   107275.0 
 80779 75732     j    rj15.1785  2453751.930625    -21.38  1.116981   0.208   103257.0 
