# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      sophiecc
# Description of the table:        Cross-correlation functions
# Object:                          HD9826
# Display the fields:              seq,$link[objname],date,$link[slen],mask,ccf_offline,$field[rv],fwhm,span,maxcpp,contrast,lines,$link['view_head'],$link['get_ccf'],$link['view_ccf'],targetname,bjd
# Description of each column
# seq: ----------------- Sequence number
# $link[objname]: ------ Designation of the object
# date: ---------------- Observation date
# $link[slen]: --------- Length of the series
# mask: ---------------- Name of the mask
# ccf_offline: --------- Offline CCF
# $field[rv]: ---------- Radial velocity
# fwhm: ---------------- FWHM of the correlation peak
# span: ---------------- Bissector span
# maxcpp: -------------- Maximum number of counts per pixel
# contrast: ------------ Contrast of the CCF
# lines: --------------- Number of lines used for the CCF
# $link['view_head']: -- See the header of the cross-correlation file
# $link['get_ccf']: ---- Download the cross-correlation function FITS file
# $link['view_ccf']: --- View the cross-correlation function
# targetname: ---------- Target name provided by the observer
# bjd: ----------------- Barycentric Julian date
#---,--------------,----,-----------,----,-----------,--,---,----,----,------,--------,-----,------------------,----------------,-----------------,----------,---
seq,$link[objname],date,$link[slen],mask,ccf_offline,rv,err,fwhm,span,maxcpp,contrast,lines,$link['view_head'],$link['get_ccf'],$link['view_ccf'],targetname,bjd
1281440,HD009826,2011-12-21,   1,G2,0,-28.7487869262695,0.000663463,14.0162,-0.00366667,59599,21.8196,4686,view_head,get_ccf,view_ccf,HD9826,2455917.39629763
1290080,HD009826,2012-01-07,   2,G2,0,-28.6143836975098,0.000907335,14.0097,-0.00483333,32536,21.7891,4680,view_head,get_ccf,view_ccf,HD9826,2455934.28509546
1021350,HD009826,2010-09-05,   5,G2,0,-28.6167850494385,0.000964312,13.984,-0.013,29192,21.8211,4760,view_head,get_ccf,view_ccf,HD9826,2455445.52869324
1021340,HD009826,2010-09-05,   5,G2,0,-28.6217269897461,0.000962539,13.9787,-0.009,29220,21.8294,4760,view_head,get_ccf,view_ccf,HD9826,2455445.52688756
1018890,HD009826,2010-09-01,   5,G2,0,-28.6942920684814,0.000886744,13.993,0.0136667,34936,21.8515,4760,view_head,get_ccf,view_ccf,HD9826,2455441.59363061
1678580,HD009826,2013-10-17,   3,G2,0,-28.6507759094238,0.00103142,14.0094,-0.00433333,25548,21.8011,4725,view_head,get_ccf,view_ccf,HD9826,2456583.44686893
1022200,HD009826,2010-09-08,   5,G2,0,-28.6072616577148,0.00116172,13.9875,0.00283333,20516,21.7681,4759,view_head,get_ccf,view_ccf,HD9826,2455448.52314733
1645330,HD009826,2013-08-14,   6,G2,0,-28.5735778808594,0.00123508,13.9868,0.00416667,17281,21.7348,4758,view_head,get_ccf,view_ccf,HD9826,2456519.64546782
1645300,HD009826,2013-08-14,   6,G2,0,-28.5723133087158,0.00157268,13.9889,0.0055,10793,21.6235,4758,view_head,get_ccf,view_ccf,HD9826,2456519.64089568
1645280,HD009826,2013-08-14,   6,G2,0,-28.569637298584,0.00131899,13.9784,-0.00483333,15174,21.7003,4758,view_head,get_ccf,view_ccf,HD9826,2456519.63781672
1644400,HD009826,2013-08-12,   5,G2,0,-28.6215324401855,0.00103174,13.9963,0.0075,24904,21.731,4759,view_head,get_ccf,view_ccf,HD9826,2456517.6326725
1644360,HD009826,2013-08-12,   5,G2,0,-28.6266307830811,0.000997777,13.9977,0.00883333,26604,21.7511,4759,view_head,get_ccf,view_ccf,HD9826,2456517.62558857
1644370,HD009826,2013-08-12,   5,G2,0,-28.622257232666,0.00114234,13.992,0.00716667,20437,21.7193,4759,view_head,get_ccf,view_ccf,HD9826,2456517.62735956
1644390,HD009826,2013-08-12,   5,G2,0,-28.6234951019287,0.00103882,14.0098,-0.00216667,24584,21.7185,4759,view_head,get_ccf,view_ccf,HD9826,2456517.63090152
1693720,HD009826,2013-11-16,   5,G2,0,-28.5621147155762,0.00126902,13.9799,-0.0055,16802,21.7418,4704,view_head,get_ccf,view_ccf,HD9826,2456613.33345719
1706770,HD009826,2013-12-13,   1,G2,0,-28.5702018737793,0.000487984,14.0097,-0.0085,110517,21.9066,4689,view_head,get_ccf,view_ccf,HD9826,2456640.3147197
1063720,HD009826,2010-11-24,   5,G2,0,-28.6081485748291,0.00168255,13.9705,0.00266667,9849,21.6352,4697,view_head,get_ccf,view_ccf,HD9826,2455525.42603076
1063700,HD009826,2010-11-24,   5,G2,0,-28.6062164306641,0.0016727,13.9662,-0.0111667,9963,21.653,4697,view_head,get_ccf,view_ccf,HD9826,2455525.42247765
1063710,HD009826,2010-11-24,   5,G2,0,-28.6078414916992,0.00175851,13.9811,-0.00566667,9061,21.6224,4697,view_head,get_ccf,view_ccf,HD9826,2455525.42427157
1062611,HD009826,2010-11-23,   5,G2,0,-28.5566482543945,0.00154961,13.9859,-0.00283333,11597,21.6595,4697,view_head,get_ccf,view_ccf,HD9826,2455524.45425992
1049450,HD009826,2010-09-29,   1,G2,0,-28.6708106994629,0.000327598,13.9963,0.000833333,242707,22.1748,4745,view_head,get_ccf,view_ccf,HD9826,2455469.49232394
1707580,HD009826,2013-12-14,   1,G2,0,-28.6043548583984,0.00121349,14.0063,-0.00316667,18302,21.6527,4690,view_head,get_ccf,view_ccf,HD9826,2456641.32837277
979390,HD009826,2010-07-15,   3,G2,0,-28.5731563568115,0.00098912,14.0177,-0.0015,26709,21.7396,4759,view_head,get_ccf,view_ccf,HD9826,2455393.61865478
1061180,HD009826,2010-11-22,   6,G2,0,-28.4625606536865,0.00197656,13.9879,-0.006,7305,21.5208,4697,view_head,get_ccf,view_ccf,HD9826,2455523.49686226
1247420,HD009826,2011-09-19,   2,G2,0,-28.6061344146729,0.00096553,13.9768,-0.0103333,28356,21.7921,4749,view_head,get_ccf,view_ccf,HD9826,2455824.60537994
1061220,HD009826,2010-11-22,   6,G2,0,-28.4609813690186,0.00181199,13.9727,-0.0103333,8611,21.5831,4697,view_head,get_ccf,view_ccf,HD9826,2455523.50256809
1726510,HD009826,2014-02-07,   1,G2,0,-28.4837455749512,0.000903229,14.0193,-0.00433333,32800,21.7559,4678,view_head,get_ccf,view_ccf,HD9826,2456696.27368966
1290090,HD009826,2012-01-07,   2,G2,0,-28.6164054870605,0.000904703,14.0155,-0.00316667,32702,21.79,4680,view_head,get_ccf,view_ccf,HD9826,2455934.29072
1855800,HD009826,2015-08-25,   1,G2,0,-28.6410064697266,0.00067284,13.9684,0.00533333,59369,21.9804,4761,view_head,get_ccf,view_ccf,HD9826,2457260.61410242
1855800,HD009826,2015-08-25,   1,G2,0,-28.6410064697266,0.00067284,13.9684,0.00533333,59369,21.9804,4761,view_head,get_ccf,view_ccf,HD9826,2457260.61410242
2040670,HD009826,2016-10-05,   1,G2,0,-28.7083206176758,0.0011346,13.9936,0.0005,20886,21.8086,4735,view_head,get_ccf,view_ccf,HD9826,2457667.48521491
2040680,HD009826,2016-10-05,   1,G2,0,-28.7068786621094,0.00129159,13.9929,-0.0025,16270,21.7804,4735,view_head,get_ccf,view_ccf,HD9826,2457667.49313187
1516100,HD009826,2013-01-03,   2,G2,0,-28.7504177093506,0.00057686,13.982,-0.00433333,80424,21.9821,4679,view_head,get_ccf,view_ccf,HD9826,2456296.35113346
1020690,HD009826,2010-09-04,   5,G2,0,-28.6172828674316,0.000991639,13.9542,-0.002,28298,21.9143,4760,view_head,get_ccf,view_ccf,HD9826,2455444.58715686
1245080,HD009826,2011-09-15,   2,G2,0,-28.639669418335,0.000567479,13.9875,-0.0035,80920,21.9045,4750,view_head,get_ccf,view_ccf,HD9826,2455820.50572847
1063690,HD009826,2010-11-24,   5,G2,0,-28.6068134307861,0.00165371,13.9666,-0.00583333,10191,21.6644,4697,view_head,get_ccf,view_ccf,HD9826,2455525.42069531
1881630,HD009826,2015-10-16,   1,G2,0,-28.7385940551758,0.000720651,14.0872,-0.00366667,44739,21.65,4729,view_head,get_ccf,view_ccf,HD9826,2457312.35896472
1881630,HD009826,2015-10-16,   1,G2,0,-28.7385940551758,0.000720651,14.0872,-0.00366667,44739,21.65,4729,view_head,get_ccf,view_ccf,HD9826,2457312.35896472
1516110,HD009826,2013-01-03,   2,G2,0,-28.7502193450928,0.000601265,13.9859,-0.0045,73857,21.9589,4679,view_head,get_ccf,view_ccf,HD9826,2456296.35610992
1678590,HD009826,2013-10-17,   3,G2,0,-28.6505031585693,0.00116571,13.9966,0.00266667,20111,21.7885,4725,view_head,get_ccf,view_ccf,HD9826,2456583.44902175
1061170,HD009826,2010-11-22,   6,G2,0,-28.4581565856934,0.00201393,13.9737,-0.0055,7049,21.4985,4697,view_head,get_ccf,view_ccf,HD9826,2455523.49541555
1020010,HD009826,2010-09-03,   5,G2,0,-28.6739025115967,0.000840366,13.9796,-0.00183333,38635,21.9218,4760,view_head,get_ccf,view_ccf,HD9826,2455443.60273473
1018850,HD009826,2010-09-01,   5,G2,0,-28.6921291351318,0.000888793,13.9967,0.00316667,34772,21.8488,4760,view_head,get_ccf,view_ccf,HD9826,2455441.58653518
1021360,HD009826,2010-09-05,   5,G2,0,-28.6174049377441,0.000981475,13.985,-0.00166667,28164,21.8071,4760,view_head,get_ccf,view_ccf,HD9826,2455445.53047578
1510260,HD009826,2012-12-21,   1,G2,0,-28.7219505310059,0.00209616,13.9799,-0.0123333,6578,21.5631,4686,view_head,get_ccf,view_ccf,HD9826,2456283.39773086
1020040,HD009826,2010-09-03,   5,G2,0,-28.6700477600098,0.000839301,13.9874,-0.00466667,38731,21.9097,4760,view_head,get_ccf,view_ccf,HD9826,2455443.60807076
2392220,HD009826,2017-12-03,   1,G2,0,-28.6250133514404,0.000934418,13.9652,0.00166667,31554,21.8498,4692,view_head,get_ccf,view_ccf,HD9826,2458091.41678848
1245900,HD009826,2011-09-16,   2,G2,0,-28.6448535919189,0.000589993,14.0022,-0.0075,73082,21.8468,4750,view_head,get_ccf,view_ccf,HD9826,2455821.51869494
1055060,HD009826,2010-10-05,   2,G2,0,-28.610668182373,0.000537353,14.0248,-0.00516667,89579,21.9111,4737,view_head,get_ccf,view_ccf,HD9826,2455475.61965713
1244400,HD009826,2011-09-14,   2,G2,0,-28.5527801513672,0.000528263,13.9904,-0.011,93774,21.938,4751,view_head,get_ccf,view_ccf,HD9826,2455819.53939579
1843770,HD009826,2015-07-27,   1,G2,0,-28.5204639434814,0.0010632,13.9681,-0.0005,23582,21.7978,4762,view_head,get_ccf,view_ccf,HD9826,2457231.59548702
1843770,HD009826,2015-07-27,   1,G2,0,-28.5204639434814,0.0010632,13.9681,-0.0005,23582,21.7978,4762,view_head,get_ccf,view_ccf,HD9826,2457231.59548702
1719410,HD009826,2014-10-31,   1,G2,0,-28.565071105957,0.000388702,14.008,-0.00433333,176582,22.0936,4714,view_head,get_ccf,view_ccf,HD9826,2456962.403459
1062591,HD009826,2010-11-23,   5,G2,0,-28.543140411377,0.00133967,13.9774,-0.00766667,15381,21.7224,4697,view_head,get_ccf,view_ccf,HD9826,2455524.4507068
1244390,HD009826,2011-09-14,   2,G2,0,-28.5508937835693,0.000530007,13.9922,-0.007,93348,21.9369,4751,view_head,get_ccf,view_ccf,HD9826,2455819.53379359
1020710,HD009826,2010-09-04,   5,G2,0,-28.6200351715088,0.00166329,13.9554,-0.0111667,10424,21.683,4760,view_head,get_ccf,view_ccf,HD9826,2455444.59074508
1481310,HD009826,2012-11-07,   1,G2,0,-28.5885276794434,0.00081964,13.9789,-0.0123333,40493,21.9572,4712,view_head,get_ccf,view_ccf,HD9826,2456239.42954728
943210,HD009826,2011-10-12,   2,G2,0,-28.6166305541992,0.00074316,14.0129,-0.00116667,48134,21.8047,4731,view_head,get_ccf,view_ccf,HD9826,2455847.55810806
1247410,HD009826,2011-09-19,   2,G2,0,-28.6039218902588,0.00091237,13.9776,0.000833333,31710,21.8082,4749,view_head,get_ccf,view_ccf,HD9826,2455824.59978935
943220,HD009826,2011-10-12,   2,G2,0,-28.6140518188477,0.000738841,14.0052,-0.00383333,48599,21.8117,4731,view_head,get_ccf,view_ccf,HD9826,2455847.56371006
979370,HD009826,2010-07-15,   3,G2,0,-28.5663146972656,0.00102849,14.0144,0.0035,24601,21.72,4759,view_head,get_ccf,view_ccf,HD9826,2455393.6151244
1020050,HD009826,2010-09-03,   5,G2,0,-28.672908782959,0.000840223,13.9818,0.0005,38645,21.9226,4760,view_head,get_ccf,view_ccf,HD9826,2455443.60986487
1246800,HD009826,2011-09-18,   2,G2,0,-28.5273189544678,0.000860121,13.9956,0.00383333,35463,21.7689,4749,view_head,get_ccf,view_ccf,HD9826,2455823.49728395
1246810,HD009826,2011-09-18,   2,G2,0,-28.5264320373535,0.000856,13.9967,-0.00233333,35820,21.7769,4749,view_head,get_ccf,view_ccf,HD9826,2455823.50288613
1020680,HD009826,2010-09-04,   5,G2,0,-28.614818572998,0.000924375,13.9537,0.00366667,32430,21.9244,4760,view_head,get_ccf,view_ccf,HD9826,2455444.58537432
1645290,HD009826,2013-08-14,   6,G2,0,-28.5732250213623,0.00144114,13.9814,0.00116667,12770,21.6755,4758,view_head,get_ccf,view_ccf,HD9826,2456519.6393562
