Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
92619,9826,lick,rb71.29,2451014.980469,-114.22,8.196493,-1,54127.0
92620,9826,lick,rb72.66,2451025.970703,2.38,8.223897,-1,85640.0
92621,9826,lick,rb72.161,2451026.954102,-25.23,8.04853,-1,106979.0
92622,9826,lick,rb72.303,2451028.006836,-124.67,8.835349,-1,55036.0
92623,9826,lick,rb73.31,2451045.019531,-22.42,9.157201,-1,41868.0
92624,9826,lick,rb73.74,2451046.006836,-114.33,9.201202,-1,40558.0
92625,9826,lick,rb73.114,2451046.985352,-170.05,8.708853,-1,38729.0
92626,9826,lick,rb73.153,2451047.957031,-101.99,8.953641,-1,40917.0
92627,9826,lick,rb73.193,2451048.921875,-27.54,8.3163,-1,66632.0
92628,9826,lick,rb73.194,2451048.9375,-24.86,8.314331,-1,69124.0
92629,9826,lick,rb73.235,2451049.90918,-37.79,7.749215,-1,73219.0
92630,9826,lick,rb73.236,2451049.923828,-39.58,7.963235,-1,74112.0
92631,9826,lick,rb76.14,2451074.914062,-163.99,7.7797,-1,61405.0
92632,9826,lick,rb77.24,2451100.904297,-97.23,10.503003,-1,20523.0
92633,9826,lick,rb77.66,2451101.87793,-172.78,9.93509,-1,18804.0
92634,9826,lick,rb78.24,2451130.855469,-112.70,10.506296,-1,41851.0
92635,9826,lick,rb78.65,2451131.798828,-14.68,9.946566,-1,60585.0
92636,9826,lick,rb78.104,2451132.72168,12.36,11.121566,-1,48859.0
92637,9826,lick,rb78.153,2451133.84082,-92.73,12.106431,-1,26660.0
92638,9826,lick,rb80.72,2451154.725586,3.27,10.175613,-1,35483.0
92639,9826,lick,rb81.50,2451174.669922,-8.72,10.450461,-1,40661.0
92640,9826,lick,rb81.91,2451175.607422,-72.42,10.048059,-1,41804.0
92641,9826,lick,rb82.14,2451206.643555,33.81,11.704407,-1,26892.0
92642,9826,lick,rb82.15,2451206.646484,36.70,11.321348,-1,23805.0
92643,9826,lick,rb83.13,2451212.673828,-99.88,11.526858,-1,28996.0
92644,9826,lick,rb83.55,2451213.666016,-98.25,10.936891,-1,54770.0
92645,9826,lick,rb84.7,2451239.626953,-41.22,10.265155,-1,38422.0
92646,9826,lick,rb84.8,2451239.643555,-58.70,11.092344,-1,30537.0
92647,9826,lick,rb84.10,2451240.638672,-120.82,11.390844,-1,37738.0
92648,9826,lick,rb84.11,2451240.654297,-116.99,11.222906,-1,32273.0
92649,9826,lick,rb85.11,2451242.632812,-9.85,11.023803,-1,32669.0
92650,9826,lick,rb85.12,2451242.637695,-0.86,10.865747,-1,30674.0
92651,9826,lick,rb89.21,2451351.983398,-126.75,9.345803,-1,53320.0
92652,9826,lick,rs01.24,2451353.962891,-15.57,11.04881,-1,28579.0
92653,9826,lick,rs01.56,2451354.952148,-74.43,9.744152,-1,35664.0
92654,9826,lick,rb90.28,2451362.975586,13.37,8.406844,-1,81275.0
92655,9826,lick,rb90.29,2451362.982422,1.76,8.098945,-1,95008.0
92656,9826,lick,rb90.70,2451363.989258,-22.61,7.759685,-1,104666.0
92657,9826,lick,rb90.120,2451364.975586,-95.76,8.522907,-1,60487.0
92658,9826,lick,rs02.106,2451375.97168,-3.54,9.124943,-1,60712.0
92659,9826,lick,rs02.144,2451376.995117,48.59,8.713252,-1,64719.0
92660,9826,lick,rb91.23,2451377.936523,30.87,9.02133,-1,64787.0
92661,9826,lick,rb91.24,2451377.952148,30.06,8.555335,-1,66625.0
92662,9826,lick,rb91.25,2451377.96582,24.65,9.494744,-1,50147.0
92663,9826,lick,rb91.60,2451378.956055,-48.62,8.650708,-1,64005.0
92664,9826,lick,rb91.61,2451378.97168,-52.84,9.251254,-1,62196.0
92665,9826,lick,rb91.62,2451378.987305,-47.64,8.444486,-1,62442.0
92666,9826,lick,rb91.98,2451379.960938,-52.65,9.498683,-1,65460.0
92667,9826,lick,rb91.99,2451379.976562,-56.05,9.027248,-1,62816.0
92668,9826,lick,rb91.100,2451379.990234,-48.64,10.053214,-1,49502.0
92669,9826,lick,rb91.134,2451380.962891,46.96,8.50439,-1,67287.0
92670,9826,lick,rb92.22,2451386.976562,58.85,9.754655,-1,40678.0
92671,9826,lick,rb92.23,2451386.990234,57.74,9.062228,-1,57789.0
92672,9826,lick,rb92.57,2451387.970567,-28.51,9.127819,-1,59354.0
92673,9826,lick,rb92.58,2451387.985162,-20.94,8.820099,-1,67086.0
92674,9826,lick,rb92.59,2451387.999352,-16.05,9.757593,-1,56990.0
92675,9826,lick,rb92.94,2451388.974609,-41.45,8.800671,-1,69199.0
92676,9826,lick,rb92.95,2451388.991211,-38.46,8.907048,-1,71184.0
92677,9826,lick,rb92.132,2451389.979492,53.33,9.045092,-1,63035.0
92678,9826,lick,rb92.133,2451389.995117,43.11,9.480432,-1,64486.0
92679,9826,lick,rb92.195,2451392.0,34.67,9.309268,-1,64016.0
92680,9826,lick,rb92.230,2451392.977539,-37.26,10.075389,-1,63068.0
92681,9826,lick,rb92.231,2451392.992188,-42.69,9.418268,-1,58767.0
92682,9826,lick,rb92.232,2451393.004883,-69.75,11.006368,-1,28213.0
92683,9826,lick,rb93.14,2451401.935547,7.45,9.609082,-1,43348.0
92684,9826,lick,rb93.43,2451402.876953,-5.51,9.615556,-1,60500.0
92685,9826,lick,rb93.44,2451402.892578,-10.41,9.731571,-1,62270.0
92686,9826,lick,rb93.78,2451403.913086,84.72,8.875003,-1,63852.0
92687,9826,lick,rb93.79,2451403.928711,74.00,8.764203,-1,65949.0
92688,9826,lick,rs03.24,2451405.976562,48.71,8.968622,-1,47338.0
92689,9826,lick,rs03.64,2451406.992188,-15.33,7.883053,-1,69180.0
92690,9826,lick,rs03.102,2451408.022461,37.86,9.101938,-1,46369.0
92691,9826,lick,rs04.173,2451409.973633,104.42,10.334175,-1,28110.0
92692,9826,lick,rs04.174,2451409.995117,103.89,10.842051,-1,26342.0
92693,9826,lick,rb94.21,2451416.78418,9.41,8.955171,-1,69248.0
92694,9826,lick,rb94.22,2451416.787109,-0.25,8.988192,-1,80455.0
92695,9826,lick,rb94.41,2451416.975586,14.02,7.444156,-1,85665.0
92696,9826,lick,rb94.42,2451416.978516,11.28,7.794002,-1,70829.0
92697,9826,lick,rb94.80,2451417.796875,82.16,10.10579,-1,44064.0
92698,9826,lick,rb94.81,2451417.801758,90.19,9.218671,-1,44982.0
92699,9826,lick,rb95.20,2451418.924805,114.32,8.214065,-1,88639.0
92700,9826,lick,rb95.21,2451418.944336,115.93,7.999748,-1,88126.0
92701,9826,lick,rb95.57,2451419.892578,50.11,8.538817,-1,64753.0
92702,9826,lick,rb95.58,2451419.908203,48.05,8.865843,-1,57468.0
