HD,HIP,_tab3_3,RVel,e_RVel,Inst
87883,,2454084.947404,30.82,0.77,j
87883,,2454641.763773,6.52,1.15,j
87883,,2454778.154132,6.15,0.99,j
87883,,2454779.096644,4.12,1.19,j
87883,,2454780.132789,1.16,1.13,j
87883,,2454791.154479,3.88,1.16,j
87883,,2454806.101262,-0.41,1.11,j
87883,,2454808.049491,3.27,1.11,j
87883,,2454809.122118,5.20,1.00,j
87883,,2454810.022326,5.57,1.14,j
87883,,2454811.068461,-0.23,1.06,j
87883,,2454839.079007,1.42,1.15,j
87883,,2454847.081669,-3.47,1.12,j
87883,,2454865.045542,-0.36,1.02,j
87883,,2454867.873723,-0.13,1.25,j
87883,,2454927.875702,-5.59,1.28,j
87883,,2454929.866651,-2.61,1.19,j
87883,,2454934.857729,-0.43,1.01,j
87883,,2454954.874656,1.53,0.95,j
87883,,2454963.880373,-0.88,1.06,j
87883,,2454983.820270,-1.11,1.09,j
87883,,2454984.810104,-0.20,1.00,j
87883,,2454985.816973,-0.59,1.11,j
87883,,2454986.837245,-1.95,1.13,j
87883,,2454987.816121,-2.47,1.10,j
87883,,2454988.825816,-0.88,1.10,j
87883,,2455014.753204,-3.23,1.07,j
87883,,2455015.740298,0.07,1.09,j
87883,,2455134.142046,-1.83,0.98,j
87883,,2455255.938858,-11.21,1.21,j
87883,,2455314.816487,-7.93,1.01,j
87883,,2455339.832547,-11.24,0.97,j
87883,,2455343.821125,-10.92,1.04,j
87883,,2455380.736275,-5.65,1.08,j
87883,,2455490.145585,-14.24,1.18,j
87883,,2455546.114483,-12.08,1.10,j
87883,,2455635.992188,-13.42,0.98,j
87883,,2455703.738861,-16.69,0.96,j
87883,,2455871.146285,-24.14,1.39,j
87883,,2456114.737626,-22.12,1.48,j
87883,,2456290.062933,-31.55,1.04,j
87883,,2456327.974385,-29.73,1.13,j
87883,,2456344.893303,-32.11,1.07,j
87883,,2456615.161283,-40.25,1.01,j
87883,,2456638.085679,-41.78,1.01,j
87883,,2456709.973908,-43.91,1.05,j
87883,,2456826.734325,-38.21,1.10,j
87883,,2456827.738406,-34.90,1.10,j
87883,,2456828.735450,-36.97,1.10,j
87883,,2456845.734428,-33.08,0.97,j
87883,,2456848.734455,-39.00,1.28,j
87883,,2457003.171764,49.18,1.06,j
87883,,2457057.843880,55.77,1.01,j
87883,,2457058.908660,61.43,1.07,j
87883,,2457179.741818,53.90,1.00,j
87883,,2457199.746157,46.19,1.14,j
87883,,2457213.741424,45.96,1.30,j
87883,,2457327.156323,33.54,1.13,j
87883,,2457568.742359,25.94,1.22,j
87883,,2457746.180697,13.36,1.26,j
87883,,2457765.945024,12.54,1.07,j
87883,,2457934.742278,7.56,1.06,j
87883,,2458066.156306,10.31,1.08,j
87883,,2458092.172923,5.50,1.09,j
87883,,2458181.951955,2.56,1.22,j
87883,,2458444.164499,-7.21,1.05,j
87883,,2458491.023731,-13.94,1.17,j
87883,,2458559.892813,-8.05,1.03,j
87883,,2458795.150910,-14.42,1.19,j
87883,,2458798.155438,-12.00,0.97,j
87883,,2458828.048996,-14.10,0.99,j
87883,,2451155.030273,15.94,7.31,lick
87883,,2451242.833008,34.85,6.04,lick
87883,,2451534.010742,19.09,5.44,lick
87883,,2451914.003906,0.90,4.95,lick
87883,,2451914.970703,-4.21,4.92,lick
87883,,2451915.993164,5.66,4.91,lick
87883,,2451927.983738,-2.52,4.93,lick
87883,,2451945.938477,13.89,4.89,lick
87883,,2451946.886719,16.54,5.54,lick
87883,,2452075.681641,-15.68,5.07,lick
87883,,2452298.986328,-13.77,3.47,lick
87883,,2452333.878906,7.41,4.59,lick
87883,,2452335.811523,-7.06,5.30,lick
87883,,2452687.804989,-19.97,3.66,lick
87883,,2452991.006836,-18.54,3.02,lick
87883,,2452992.042969,-14.58,4.00,lick
87883,,2453008.990234,-17.83,3.55,lick
87883,,2453101.749023,-41.44,4.67,lick
87883,,2453389.849803,-40.60,3.75,lick
87883,,2453391.989398,-30.86,3.64,lick
87883,,2454073.998692,22.65,4.35,lick
87883,,2454102.016273,31.54,4.19,lick
87883,,2454102.973889,34.88,3.96,lick
87883,,2454103.952951,27.14,4.00,lick
87883,,2454134.834468,17.54,4.34,lick
87883,,2454165.806539,23.06,3.99,lick
87883,,2454196.764965,33.84,3.38,lick
87883,,2454461.953021,16.78,3.91,lick
87883,,2454517.917054,16.25,4.04,lick
87883,,2454547.872755,10.84,3.67,lick
87883,,2454574.778715,2.09,4.03,lick
87883,,2454606.745880,-3.59,6.09,lick
87883,,2454609.728993,22.51,4.41,lick
87883,,2454622.713009,2.09,5.10,lick
87883,,2454786.061609,-7.07,7.24,lick
87883,,2454844.998658,8.21,3.15,lick
87883,,2454846.084086,17.06,2.55,lick
87883,,2454847.844696,0.95,2.85,lick
87883,,2454848.980516,-0.79,2.87,lick
87883,,2454849.902110,-12.80,2.76,lick
87883,,2454850.829124,-11.46,3.92,lick
87883,,2454863.956391,-0.69,3.83,lick
87883,,2454864.906169,-9.32,4.76,lick
87883,,2454865.932720,11.41,5.33,lick
87883,,2455167.977240,-19.17,3.43,lick
