time,mnvel,errvel,tel,inst,source
2441998.93369,12.8,7.97,,ignore,fisher2009
2441999.17408,33.63,7.17,,ignore,fisher2009
2441999.97128,18.35,6.44,,ignore,fisher2009
2442001.01165,0.88,5.85,,ignore,fisher2009
2442001.01429,-5.14,6.1,,ignore,fisher2009
2442001.01709,5.8,5.87,,ignore,fisher2009
2442001.04992,-1.5,6.07,,ignore,fisher2009
2442001.09908,13.53,6.08,,ignore,fisher2009
2442001.10167,13.45,6.32,,ignore,fisher2009
2442001.4543,-17.65,6.1,,ignore,fisher2009
2442002.06567,-14.97,4.72,,ignore,fisher2009
2442002.1612,5.5,5.98,,ignore,fisher2009
2442002.16649,-9.29,6.11,,ignore,fisher2009
2442003.13049,-22.78,4.23,,ignore,fisher2009
2442003.96032,-20.66,4.64,,ignore,fisher2009
2442003.96316,-18.05,5.25,,ignore,fisher2009
2442004.00956,-18.31,4.81,,ignore,fisher2009
2442004.26352,-42.47,5.83,,ignore,fisher2009
2442005.05229,-41.12,5.03,,ignore,fisher2009
2442005.05815,-32.01,4.92,,ignore,fisher2009
2442006.92539,20.38,5.46,,ignore,fisher2009
2442007.0021,28.05,5.22,,ignore,fisher2009
2442007.00472,36.03,5.33,,ignore,fisher2009
2442007.0074,26.61,5.16,,ignore,fisher2009
2442007.09195,18.36,5.43,,ignore,fisher2009
2442007.17675,19.74,5.27,,ignore,fisher2009
2442007.26151,33.31,4.83,,ignore,fisher2009
2442007.98755,14.49,5.27,,ignore,fisher2009
2442008.14057,16.07,4.63,,ignore,fisher2009
2442008.22279,9.73,4.87,,ignore,fisher2009
2442008.29645,0.97,5.21,,ignore,fisher2009
2442008.38397,-4.94,6.73,,ignore,fisher2009
2442008.39214,20.11,5.62,,ignore,fisher2009
2442008.42769,2.86,6.03,,ignore,fisher2009
2442008.87491,-10.34,8.02,,ignore,fisher2009
2442009.03607,7.99,2.81,,ignore,fisher2009
2442009.03925,15.0,3.49,,ignore,fisher2009
2442009.04426,-0.41,3.77,,ignore,fisher2009
2442009.04697,-2.47,3.67,,ignore,fisher2009
2442009.0497,-13.64,3.63,,ignore,fisher2009
2442009.05243,-11.98,4.53,,ignore,fisher2009
2442009.08818,-3.23,4.63,,ignore,fisher2009
2442009.09078,-11.39,6.23,,ignore,fisher2009
2442009.09359,10.95,6.34,,ignore,fisher2009
2451155.030273,15.94,7.31,,ignore,hirsch2021
2451155.030273,13.7,7.31455,,ignore,callegacy
2451242.833008,34.85,6.04,,ignore,hirsch2021
2451242.833008,32.62,6.036274,,ignore,callegacy
2451534.010742,19.09,5.44,,ignore,hirsch2021
2451534.010742,16.86,5.440833,,ignore,callegacy
2451914.003906,-1.34,4.95387,,ignore,callegacy
2451914.003906,0.9,4.95,,ignore,hirsch2021
2451914.970703,-6.44,4.924778,,ignore,callegacy
2451914.970703,-4.21,4.92,,ignore,hirsch2021
2451915.993164,3.42,4.909604,,ignore,callegacy
2451915.993164,5.66,4.91,,ignore,hirsch2021
2451927.983738,-4.76,4.933393,,ignore,callegacy
2451927.983738,-2.52,4.93,,ignore,hirsch2021
2451945.938477,13.89,4.89,,ignore,hirsch2021
2451945.938477,11.66,4.887279,,ignore,callegacy
2451946.886719,14.3,5.53682,,ignore,callegacy
2451946.886719,16.54,5.54,,ignore,hirsch2021
2452075.681641,-17.92,5.066915,,ignore,callegacy
2452075.681641,-15.68,5.07,,ignore,hirsch2021
2452298.986328,-16.01,3.465695,,ignore,callegacy
2452298.986328,-13.77,3.47,,ignore,hirsch2021
2452333.878906,7.41,4.59,,ignore,hirsch2021
2452333.878906,5.18,4.593149,,ignore,callegacy
2452335.811523,-7.06,5.3,,ignore,hirsch2021
2452335.811523,-9.29,5.298883,,ignore,callegacy
2452687.804989,-19.97,3.66,,ignore,hirsch2021
2452687.885742,-41.33,7.917358,,ignore,callegacy
2452687.910156,-18.67,6.137219,,ignore,callegacy
2452687.932617,-15.65,5.569771,,ignore,callegacy
2452991.006836,-20.78,3.020762,,ignore,callegacy
2452991.006836,-18.54,3.02,,ignore,hirsch2021
2452992.042969,-14.58,4.0,,ignore,hirsch2021
2452992.042969,-16.82,3.997016,,ignore,callegacy
2453008.990234,-17.83,3.55,,ignore,hirsch2021
2453008.990234,-20.06,3.554865,,ignore,callegacy
2453101.749023,-43.67,4.669603,,ignore,callegacy
2453101.749023,-41.44,4.67,,ignore,hirsch2021
2453389.849803,-40.6,3.75,,ignore,hirsch2021
2453389.849803,-42.83,3.747713,,ignore,callegacy
2453391.989398,-30.86,3.64,,ignore,hirsch2021
2453391.989398,-33.1,3.640347,,ignore,callegacy
2454073.998692,20.42,4.350031,,ignore,callegacy
2454073.998692,22.65,4.35,,ignore,hirsch2021
2454102.016273,31.54,4.19,,ignore,hirsch2021
2454102.016273,29.31,4.193809,,ignore,callegacy
2454102.973889,34.88,3.96,,ignore,hirsch2021
2454102.973889,32.64,3.957612,,ignore,callegacy
2454103.952951,24.91,4.004853,,ignore,callegacy
2454103.952951,27.14,4.0,,ignore,hirsch2021
2454134.834468,15.3,4.335046,,ignore,callegacy
2454134.834468,17.54,4.34,,ignore,hirsch2021
2454165.806539,20.83,3.992656,,ignore,callegacy
2454165.806539,23.06,3.99,,ignore,hirsch2021
2454196.764965,31.6,3.376258,,ignore,callegacy
2454196.764965,33.84,3.38,,ignore,hirsch2021
2454461.953021,16.78,3.91,,ignore,hirsch2021
2454461.953021,14.55,3.906489,,ignore,callegacy
