Name,JD,RVel,e_RVel,SNR,CCD
87883,51155.03027,1.73,4.85,96,6
87883,51242.83301,35.61,3.99,105,6
87883,51534.01074,10.83,3.99,140,6
87883,51914.00391,-19.93,3.18,166,6
87883,51914.97070,-18.66,3.30,135,6
87883,51915.99316,-2.13,3.32,149,6
87883,51927.98374,-10.51,3.56,146,6
87883,51945.93848,-1.31,3.27,197,6
87883,51946.88672,1.09,3.61,144,6
87883,52075.68164,-26.40,3.48,128,6
87883,52298.98633,-24.45,2.19,136,8
87883,52333.87891,0.00,3.11,196,6
87883,52335.81152,-23.30,3.44,98,8
87883,52687.91261,-20.89,2.41,197,8
87883,52991.00684,-35.85,2.15,157,8
87883,52992.04297,-29.05,2.77,130,8
87883,53008.99023,-33.05,2.32,123,8
87883,53101.74902,-40.92,3.10,88,8
87883,53389.84980,-52.11,2.61,147,8
87883,53391.98940,-42.75,2.88,130,8
87883,54073.99869,36.00,2.61,130,8
87883,54102.01627,33.81,2.78,111,8
87883,54102.97389,43.61,2.85,97,8
87883,54103.95295,23.50,2.62,117,8
87883,54134.83447,32.26,2.69,102,8
87883,54165.80654,19.28,2.71,125,8
87883,54196.76497,27.07,2.57,127,8
87883,54461.95302,20.29,2.65,104,8
87883,54517.84324,7.81,2.62,109,8
87883,54547.87276,8.26,2.35,144,8
87883,54574.77872,7.52,2.93,102,8
87883,54606.74588,-5.91,4.82,68,8
87883,54609.72899,17.36,2.88,95,8
87883,54622.71301,1.08,3.43,92,8
87883,54786.06460,-17.50,3.99,80,8
87883,54844.92554,4.89,2.07,162,8
87883,54846.08410,5.42,1.71,224,8
87883,54847.91725,2.25,1.86,222,8
87883,54848.90752,4.31,2.12,170,8
87883,54849.90125,3.15,1.94,171,8
87883,54863.95709,-9.29,2.69,147,8
87883,54864.90617,-9.38,3.54,101,8
87883,54865.93272,-5.34,3.36,101,8
87883,55168.04947,-16.42,2.40,157,8
