 95604 gl687     j    rj42.148   2454318.921076      6.86  0.991241   0.601    70742.0 
 95605 gl687     j    rj43.153   2454335.825949    -10.04  1.020197   0.536    78673.0 
 95606 gl687     j    rj43.4147  2454338.887766     -4.39  0.963511   0.533    71170.0 
 95607 gl687     j    rj44.187   2454339.882697     -5.90  1.040188   0.529    79693.0 
 95608 gl687     j    rj45.142   2454343.79103      -1.57  1.108525   0.57     78823.0 
 95609 gl687     j    rj47.113   2454396.71684      -3.81  1.224132   0.549    62834.0 
 95610 gl687     j    rj47.314   2454397.729375     -0.30  1.153029   0.593    76101.0 
 95611 gl687     j    rj53.288   2454548.052303     14.06  0.875661   0.619    52083.0 
 95612 gl687     j    rj53.712   2454549.091528     16.78  0.827474   0.703    50788.0 
 95613 gl687     j    rj54.1066  2454602.943808      4.15  0.975912   0.63     50377.0 
 95614 gl687     j    rj54.1478  2454603.978252      0.28  0.984288   0.623    50724.0 
 95615 gl687     j    rj55.118   2454633.962789      7.55  0.955637   0.597    51359.0 
 95616 gl687     j    rj55.314   2454634.902905      2.22  0.8805     0.583    50128.0 
 95617 gl687     j    rj55.533   2454635.946007      1.00  0.936099   0.585    50318.0 
 95618 gl687     j    rj55.707   2454636.901435     -1.06  0.990181   0.625    51139.0 
 95619 gl687     j    rj55.941   2454637.93919       0.95  0.952316   0.604    50415.0 
 95620 gl687     j    rj55.1195  2454638.838125      0.88  0.799374   0.593    50985.0 
 95621 gl687     j    rj55.1452  2454639.997593     -4.99  1.103471   0.59     49225.0 
 95622 gl687     j    rj55.1817  2454641.95375      -2.78  0.926438   0.579    50186.0 
 95623 gl687     j    rj57.107   2454674.860162      0.22  0.907211   0.71     50665.0 
 95624 gl687     j    rj58.115   2454688.892106      0.16  0.99647    0.644    50373.0 
 95625 gl687     j    rj58.411   2454689.916898     -3.26  1.056199   0.65     50726.0 
 95626 gl687     j    rj59.100   2454717.853495     -4.12  1.220565   0.641    51423.0 
 95627 gl687     j    rj59.423   2454718.914074     -3.89  1.163431   0.669    50478.0 
 95628 gl687     j    rj59.713   2454719.866412     -2.98  1.185268   0.655    47664.0 
 95629 gl687     j    rj59.1016  2454720.871181     -1.14  1.123526   0.675    50697.0 
 95630 gl687     j    rj59.1315  2454721.878796     -3.52  1.325462   0.635    43171.0 
 95631 gl687     j    rj59.1590  2454722.796979     -3.63  1.255576   0.63     49806.0 
 95632 gl687     j    rj59.1891  2454723.813796     -6.02  1.183002   0.735    49936.0 
 95633 gl687     j    rj59.2204  2454724.848322     -2.98  1.21475    0.621    51033.0 
 95634 gl687     j    rj60.91    2454725.803646     -2.92  1.196712   0.651    50855.0 
 95635 gl687     j    rj60.508   2454726.83787      -1.35  1.141814   0.645    50669.0 
 95636 gl687     j    rj60.759   2454727.847164     -0.78  1.158881   0.622    50990.0 
 95637 gl687     j    rj818.130  2454968.006541      4.10  1.123447   0.6345   70895.0 
 95638 gl687     j    rj818.131  2454968.013867      6.48  1.00027    0.6263   67458.0 
 95639 gl687     j    rj818.132  2454968.021089      5.04  1.111787   0.6299   23870.0 
 95640 gl687     j    rj818.133  2454968.027663      1.45  1.299279   0.7811   14629.0 
