Target          BJD (d)      RV (m/s)    e_RV (m/s)  CaII        e_CaII      Halpha      e_Halpha    NaI         e_NaI       HeI         e_HeI      
--------------- ------------ ----------- ----------- ----------- ----------- ----------- ----------- ----------- ----------- ----------- -----------
GJ849           58652.683065   -4.384592    0.572154    0.051592    0.000558    0.068302    0.000149    0.003847    0.000030    0.038845    0.000203
GJ849           58654.681239   -3.842091    0.509103    0.048461    0.000424    0.065516    0.000107    0.003523    0.000022    0.038268    0.000157
GJ849           58678.719583   -2.561417    0.594119    0.048104    0.000585    0.067245    0.000148    0.003574    0.000030    0.038263    0.000214
GJ849           58680.666904   -1.991184    0.877229    0.052181    0.000809    0.067942    0.000164    0.003546    0.000037    0.038415    0.000269
GJ849           58681.654650   -1.934694    0.934681    0.051410    0.000755    0.067879    0.000216    0.003843    0.000043    0.038706    0.000291
GJ849           58714.612156    0.458333    0.781416    0.039326    0.000606    0.065168    0.000177    0.003292    0.000034    0.038070    0.000252
GJ849           58715.585511   -1.603885    1.105036    0.048289    0.000859    0.066294    0.000191    0.003504    0.000041    0.038626    0.000300
GJ849           58716.619941    0.740204    0.847139    0.045638    0.000796    0.066615    0.000178    0.003462    0.000038    0.038308    0.000282
GJ849           58718.494964   -0.874014    0.792641    0.044132    0.000764    0.066108    0.000212    0.003562    0.000042    0.038193    0.000299
GJ849           58727.562750    1.425087    0.674380    0.051376    0.000630    0.068291    0.000169    0.003793    0.000034    0.038806    0.000233
GJ849           58728.476848    0.504746    0.596693    0.048492    0.000447    0.067070    0.000127    0.003675    0.000024    0.038517    0.000169
GJ849           58736.496015    3.321096    0.469833    0.051520    0.000480    0.068588    0.000153    0.004004    0.000028    0.038184    0.000184
GJ849           58745.511915   -3.806664    0.540231    0.045161    0.000391    0.065521    0.000100    0.003419    0.000020    0.038072    0.000148
GJ849           58746.540658   -5.713029    0.598871    0.046188    0.000492    0.066372    0.000135    0.003656    0.000027    0.038532    0.000186
GJ849           58747.490873   -3.674300    0.572290    0.049609    0.000541    0.067495    0.000122    0.003589    0.000026    0.038589    0.000189
GJ849           58748.547170   -3.247239    0.595232    0.044252    0.000394    0.065225    0.000128    0.003438    0.000022    0.037863    0.000160
GJ849           58805.371392    1.216702    0.948319    0.047529    0.000862    0.066721    0.000206    0.003542    0.000045    0.038509    0.000327
GJ849           58816.335042   11.861432    0.764898    0.056686    0.000574    0.068706    0.000133    0.003745    0.000029    0.038523    0.000202
GJ849           58817.374267    8.603399    1.184009    0.054903    0.001061    0.068825    0.000244    0.003846    0.000053    0.038903    0.000372
GJ849           58818.372073    8.294631    0.887542    0.053901    0.000666    0.067659    0.000160    0.003689    0.000034    0.038336    0.000243
GJ849           58819.362032    5.910416    0.717972    0.057346    0.000557    0.068867    0.000146    0.003893    0.000030    0.038403    0.000207
GJ849           58820.309229    0.000000    1.352336    0.061326    0.001371    0.069720    0.000297    0.004041    0.000069    0.039081    0.000473
GJ849           58830.319109   -4.681869    1.061592    0.050697    0.001034    0.066002    0.000238    0.003543    0.000052    0.038578    0.000380
GJ849           58831.334822    1.896325    0.722771    0.048087    0.000595    0.066051    0.000147    0.003528    0.000031    0.038341    0.000224
GJ849           58838.306999    6.819512    0.849068    0.052552    0.000547    0.067280    0.000114    0.003561    0.000026    0.038508    0.000191
GJ849           58841.306662    9.942240    0.774998    0.053047    0.000567    0.067969    0.000138    0.003759    0.000029    0.038479    0.000206
GJ849           58842.302200    8.226222    0.910035    0.053870    0.000789    0.069239    0.000188    0.003883    0.000041    0.038267    0.000283
GJ849           58844.331412    9.865226    1.288641    0.051223    0.001252    0.067788    0.000270    0.004407    0.000067    0.038270    0.000434
GJ849           58845.313284    8.826174    0.798880    0.054955    0.000582    0.069466    0.000138    0.003834    0.000030    0.038540    0.000206
GJ849           58999.685367   12.660255    1.915872    0.045481    0.001382    0.068952    0.000328    0.003681    0.000075    0.039105    0.000546
GJ849           59068.601580   16.445689    1.037690    0.049239    0.000713    0.067290    0.000128    0.003258    0.000032    0.038289    0.000251
GJ849           59069.650545    6.978974    0.714508    0.053006    0.000443    0.068121    0.000100    0.003511    0.000021    0.038570    0.000159
GJ849           59070.675491    7.995800    0.752585    0.055557    0.000578    0.068801    0.000125    0.003640    0.000027    0.038525    0.000196
GJ849           59072.690679   13.641138    0.733369    0.050662    0.000538    0.067128    0.000105    0.003382    0.000024    0.038318    0.000186
GJ849           59075.626121   13.398385    0.771649    0.051010    0.000680    0.066838    0.000136    0.003369    0.000031    0.038402    0.000237
GJ849           59076.670734   14.324760    0.641261    0.048918    0.000486    0.066528    0.000116    0.003299    0.000024    0.038141    0.000182
GJ849           59077.699824   13.616570    0.705069    0.051949    0.000484    0.068160    0.000108    0.003337    0.000023    0.038525    0.000171
GJ849           59078.654131   11.553511    0.596880    0.047924    0.000375    0.066377    0.000097    0.003327    0.000019    0.038271    0.000146
GJ849           59079.641064    9.210343    0.623097    0.048758    0.000488    0.066465    0.000118    0.003388    0.000024    0.038314    0.000181
GJ849           59092.597414    9.124512    1.173046    0.049839    0.000807    0.067135    0.000175    0.003719    0.000040    0.038533    0.000290
GJ849           59093.532335    7.352824    1.369582    0.044034    0.001105    0.067122    0.000266    0.004049    0.000064    0.038209    0.000437
GJ849           59094.594382   10.324406    0.611751    0.047256    0.000460    0.066889    0.000121    0.003573    0.000025    0.038293    0.000179
GJ849           59095.598152   10.498335    0.770411    0.049315    0.000373    0.066924    0.000109    0.003625    0.000021    0.038166    0.000149
GJ849           59096.616365   11.792965    0.903448    0.050063    0.000531    0.067642    0.000115    0.003483    0.000026    0.038010    0.000192
GJ849           59097.635074   12.280932    1.013248    0.051213    0.000796    0.067625    0.000164    0.003545    0.000037    0.038223    0.000277
GJ849           59099.627245   13.291669    0.887115    0.055559    0.000678    0.069929    0.000148    0.003785    0.000033    0.038304    0.000233
GJ849           59106.638210   13.506105    0.735033    0.053345    0.000691    0.069057    0.000152    0.003943    0.000034    0.038410    0.000232
GJ849           59110.571552    6.553032    1.027791    0.055408    0.000910    0.068596    0.000193    0.004069    0.000045    0.038607    0.000306
GJ849           59111.568745    8.889874    0.640469    0.053893    0.000456    0.068901    0.000131    0.003818    0.000025    0.038039    0.000171
GJ849           59120.601556    9.733707    1.066794    0.044367    0.000778    0.065693    0.000152    0.003444    0.000037    0.038035    0.000275
GJ849           59125.506632   14.821850    0.759435    0.046661    0.000654    0.066147    0.000134    0.003374    0.000032    0.038094    0.000241
GJ849           59126.551139   11.707681    0.853643    0.049023    0.000825    0.068086    0.000203    0.003652    0.000043    0.038180    0.000306
GJ849           59130.527513   16.206935    0.717356    0.045519    0.000633    0.066144    0.000135    0.003345    0.000031    0.037977    0.000235
GJ849           59153.415029    9.368730    0.769758    0.054561    0.000602    0.069468    0.000133    0.003901    0.000030    0.038462    0.000208
GJ849           59189.375312   15.535404    0.897410    0.053915    0.000882    0.069199    0.000184    0.003628    0.000041    0.038241    0.000294
GJ849           59190.340183   11.763475    0.606614    0.058191    0.000705    0.071393    0.000146    0.003821    0.000033    0.038698    0.000230
GJ849           59192.315037   11.108593    0.807064    0.053511    0.000648    0.069126    0.000136    0.003573    0.000030    0.038551    0.000221
GJ849           59212.315824   12.919263    0.856531    0.045716    0.000927    0.066409    0.000198    0.003660    0.000046    0.038541    0.000333
GJ849           59213.299447    7.448039    1.774257    0.042198    0.001310    0.065603    0.000398    0.006681    0.000114    0.039567    0.000605
