HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD39091,2458411.88173,54.91,0.98,PFS-Post,0.1710,0.00052,-1.0000,-1.0000,rn47.1531
HD39091,2458411.88341,55.04,0.92,PFS-Post,0.1700,0.00049,-1.0000,-1.0000,rn47.1532
HD39091,2458411.88506,57.22,0.95,PFS-Post,0.1740,0.00054,-1.0000,-1.0000,rn47.1533
HD39091,2458411.88676,56.27,0.94,PFS-Post,0.1760,0.00058,-1.0000,-1.0000,rn47.1534
HD39091,2458412.78519,56.56,0.96,PFS-Post,0.1726,0.00054,-1.0000,-1.0000,rn47.1747
HD39091,2458412.78685,56.74,0.94,PFS-Post,0.1724,0.00054,-1.0000,-1.0000,rn47.1748
HD39091,2458412.78847,57.96,0.91,PFS-Post,0.1684,0.00043,-1.0000,-1.0000,rn47.1749
HD39091,2458412.79018,55.00,0.90,PFS-Post,0.1721,0.0005,-1.0000,-1.0000,rn47.1750
HD39091,2458412.79182,59.16,0.95,PFS-Post,0.1733,0.00056,-1.0000,-1.0000,rn47.1751
HD39091,2458412.87270,56.92,1.00,PFS-Post,0.1723,0.00051,-1.0000,-1.0000,rn47.1759
HD39091,2458412.87436,54.72,0.91,PFS-Post,0.1709,0.00046,-1.0000,-1.0000,rn47.1760
HD39091,2458412.87602,59.25,0.99,PFS-Post,0.1769,0.00058,-1.0000,-1.0000,rn47.1761
HD39091,2458412.87767,53.97,0.92,PFS-Post,0.1702,0.00053,-1.0000,-1.0000,rn47.1762
HD39091,2458412.87934,54.67,0.98,PFS-Post,0.1724,0.00051,-1.0000,-1.0000,rn47.1763
HD39091,2458413.77314,55.49,0.88,PFS-Post,0.1707,0.00043,-1.0000,-1.0000,rn47.1908
HD39091,2458413.77482,54.51,0.91,PFS-Post,0.1750,0.00051,-1.0000,-1.0000,rn47.1909
HD39091,2458413.77647,57.13,0.90,PFS-Post,0.1717,0.00044,-1.0000,-1.0000,rn47.1910
HD39091,2458413.77813,56.00,0.90,PFS-Post,0.1707,0.00044,-1.0000,-1.0000,rn47.1911
HD39091,2458413.77976,57.73,0.88,PFS-Post,0.1718,0.00046,-1.0000,-1.0000,rn47.1912
HD39091,2458413.87138,52.61,0.97,PFS-Post,0.1727,0.00045,-1.0000,-1.0000,rn47.1917
HD39091,2458413.87303,56.42,0.97,PFS-Post,0.1741,0.00049,-1.0000,-1.0000,rn47.1918
HD39091,2458413.87470,55.07,0.94,PFS-Post,0.1740,0.00048,-1.0000,-1.0000,rn47.1919
HD39091,2458413.87633,54.69,0.92,PFS-Post,0.1732,0.00046,-1.0000,-1.0000,rn47.1920
HD39091,2458413.87802,57.94,0.92,PFS-Post,0.1753,0.00052,-1.0000,-1.0000,rn47.1921
HD39091,2458414.78402,55.01,0.93,PFS-Post,0.1758,0.00055,-1.0000,-1.0000,rn47.2146
HD39091,2458414.78568,56.34,0.99,PFS-Post,0.1758,0.00056,-1.0000,-1.0000,rn47.2147
HD39091,2458414.78730,55.73,0.99,PFS-Post,0.1754,0.00058,-1.0000,-1.0000,rn47.2148
HD39091,2458414.78898,52.77,1.00,PFS-Post,0.1789,0.00069,-1.0000,-1.0000,rn47.2149
HD39091,2458414.79064,59.33,0.99,PFS-Post,0.1785,0.00065,-1.0000,-1.0000,rn47.2150
HD39091,2458414.87381,52.72,0.92,PFS-Post,0.1755,0.00055,-1.0000,-1.0000,rn47.2164
HD39091,2458414.87548,54.63,0.98,PFS-Post,0.1765,0.00055,-1.0000,-1.0000,rn47.2165
HD39091,2458414.87714,56.03,0.91,PFS-Post,0.1726,0.00048,-1.0000,-1.0000,rn47.2166
HD39091,2458414.87876,53.03,0.95,PFS-Post,0.1715,0.00048,-1.0000,-1.0000,rn47.2167
HD39091,2458414.88044,55.70,1.03,PFS-Post,0.1756,0.00057,-1.0000,-1.0000,rn47.2168
HD39091,2458415.78101,56.62,1.03,PFS-Post,0.1752,0.00067,-1.0000,-1.0000,rn47.2396
HD39091,2458415.78266,56.45,1.00,PFS-Post,0.1743,0.00063,-1.0000,-1.0000,rn47.2397
HD39091,2458415.78431,58.34,0.96,PFS-Post,0.1739,0.0006,-1.0000,-1.0000,rn47.2398
HD39091,2458415.78593,56.36,0.98,PFS-Post,0.1720,0.00058,-1.0000,-1.0000,rn47.2399
HD39091,2458415.78759,54.61,1.02,PFS-Post,0.1752,0.00062,-1.0000,-1.0000,rn47.2400
HD39091,2458415.87152,56.50,1.01,PFS-Post,0.1719,0.00058,-1.0000,-1.0000,rn47.2426
HD39091,2458415.87316,56.02,1.01,PFS-Post,0.1736,0.00059,-1.0000,-1.0000,rn47.2427
HD39091,2458415.87483,57.26,1.14,PFS-Post,0.1803,0.00081,-1.0000,-1.0000,rn47.2428
HD39091,2458415.87646,55.44,1.04,PFS-Post,0.1827,0.00077,-1.0000,-1.0000,rn47.2429
HD39091,2458415.87813,55.29,0.97,PFS-Post,0.1773,0.00067,-1.0000,-1.0000,rn47.2430
HD39091,2458416.78231,57.74,1.02,PFS-Post,0.1731,0.00064,-1.0000,-1.0000,rn47.2693
HD39091,2458416.78399,58.64,0.95,PFS-Post,0.1719,0.00054,-1.0000,-1.0000,rn47.2694
HD39091,2458416.78563,61.42,0.96,PFS-Post,0.1726,0.00057,-1.0000,-1.0000,rn47.2695
HD39091,2458416.79223,58.34,0.91,PFS-Post,0.1761,0.00069,-1.0000,-1.0000,rn47.2697
HD39091,2458416.79399,60.07,0.95,PFS-Post,0.1749,0.00067,-1.0000,-1.0000,rn47.2698
HD39091,2458416.86791,61.43,0.92,PFS-Post,0.1688,0.00046,-1.0000,-1.0000,rn47.2704
HD39091,2458416.86956,58.42,0.88,PFS-Post,0.1708,0.00049,-1.0000,-1.0000,rn47.2705
HD39091,2458416.87121,60.02,0.96,PFS-Post,0.1686,0.00052,-1.0000,-1.0000,rn47.2706
HD39091,2458416.87285,60.72,0.96,PFS-Post,0.1696,0.0005,-1.0000,-1.0000,rn47.2707
HD39091,2458416.87451,61.39,0.91,PFS-Post,0.1713,0.00057,-1.0000,-1.0000,rn47.2708
HD39091,2458417.77265,60.92,1.02,PFS-Post,0.1862,0.00085,-1.0000,-1.0000,rn47.2930
HD39091,2458417.77434,59.15,0.94,PFS-Post,0.1775,0.00061,-1.0000,-1.0000,rn47.2931
HD39091,2458417.77597,59.68,0.94,PFS-Post,0.1775,0.0006,-1.0000,-1.0000,rn47.2932
HD39091,2458417.77764,62.08,0.99,PFS-Post,0.1773,0.00065,-1.0000,-1.0000,rn47.2933
HD39091,2458417.77932,62.02,1.02,PFS-Post,0.1826,0.00072,-1.0000,-1.0000,rn47.2934
HD39091,2458418.78975,58.40,0.85,PFS-Post,0.1627,0.00043,-1.0000,-1.0000,rn47.3174
HD39091,2458418.79139,55.59,0.88,PFS-Post,0.1660,0.00046,-1.0000,-1.0000,rn47.3175
HD39091,2458418.79306,60.40,0.89,PFS-Post,0.1654,0.00047,-1.0000,-1.0000,rn47.3176
HD39091,2458418.79469,53.00,0.98,PFS-Post,0.1697,0.00054,-1.0000,-1.0000,rn47.3177
HD39091,2458418.79637,59.42,0.95,PFS-Post,0.1710,0.00057,-1.0000,-1.0000,rn47.3178
HD39091,2458418.87090,56.65,0.89,PFS-Post,0.1667,0.0005,-1.0000,-1.0000,rn47.3202
HD39091,2458418.87257,57.50,0.94,PFS-Post,0.1707,0.00057,-1.0000,-1.0000,rn47.3203
HD39091,2458418.87422,54.93,0.93,PFS-Post,0.1734,0.00066,-1.0000,-1.0000,rn47.3204
HD39091,2458418.87587,60.54,0.89,PFS-Post,0.1684,0.00061,-1.0000,-1.0000,rn47.3205
HD39091,2458418.87752,57.54,0.86,PFS-Post,0.1669,0.00063,-1.0000,-1.0000,rn47.3206
