HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD39091,2454012.24676,-52.18,1.92,UCLES,-1.0000,-1.0000,0.7262,0.0019,ru83.945
HD39091,2454012.25217,-50.83,1.82,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru83.946
HD39091,2454012.25756,-49.28,1.89,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru83.947
HD39091,2454039.16212,-39.14,2.46,UCLES,-1.0000,-1.0000,0.7171,0.0065,ru84.841
HD39091,2454039.16634,-42.97,2.17,UCLES,-1.0000,-1.0000,0.7143,0.0064,ru84.842
HD39091,2454039.17056,-34.18,2.12,UCLES,-1.0000,-1.0000,0.7130,0.0061,ru84.843
HD39091,2454039.17477,-49.05,2.30,UCLES,-1.0000,-1.0000,0.7134,0.0062,ru84.844
HD39091,2454224.85141,282.89,1.80,UCLES,-1.0000,-1.0000,0.7233,0.0022,ru88.936
HD39091,2454224.85494,281.44,1.78,UCLES,-1.0000,-1.0000,0.7231,0.0022,ru88.937
HD39091,2454224.85846,282.09,1.84,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru88.938
HD39091,2454336.31395,192.60,2.57,UCLES,-1.0000,-1.0000,0.7294,0.0028,ru90.522
HD39091,2454336.31815,185.33,2.61,UCLES,-1.0000,-1.0000,0.7296,0.0029,ru90.523
HD39091,2454337.29062,191.62,2.11,UCLES,-1.0000,-1.0000,0.7294,0.0021,ru90.677
HD39091,2454337.29651,195.50,2.36,UCLES,-1.0000,-1.0000,0.7299,0.0023,ru90.678
HD39091,2454372.26350,157.91,3.19,UCLES,-1.0000,-1.0000,0.7238,0.0045,ru91.1027
HD39091,2454372.27118,144.69,2.95,UCLES,-1.0000,-1.0000,0.7275,0.0038,ru91.1028
HD39091,2454372.27888,149.92,3.43,UCLES,-1.0000,-1.0000,0.7282,0.0044,ru91.1029
HD39091,2454425.21798,115.12,2.70,UCLES,-1.0000,-1.0000,0.7262,0.0032,ru92.102
HD39091,2454425.22205,109.15,2.58,UCLES,-1.0000,-1.0000,0.7285,0.0032,ru92.103
HD39091,2454425.22633,110.18,2.83,UCLES,-1.0000,-1.0000,0.7276,0.0035,ru92.104
HD39091,2454425.23047,118.23,2.81,UCLES,-1.0000,-1.0000,0.7285,0.0033,ru92.105
HD39091,2454545.93805,45.14,1.66,UCLES,-1.0000,-1.0000,0.7302,0.0019,ru93.967
HD39091,2454545.94312,43.43,1.89,UCLES,-1.0000,-1.0000,0.7313,0.0022,ru93.968
HD39091,2454545.94843,50.61,1.89,UCLES,-1.0000,-1.0000,0.7293,0.0023,ru93.969
HD39091,2454841.04724,-21.81,3.46,UCLES,-1.0000,-1.0000,0.7289,0.004,ru96.64
HD39091,2454841.05359,-23.77,3.41,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru96.65
HD39091,2454841.06044,-31.87,3.76,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru96.66
HD39091,2454841.06704,-17.64,3.68,UCLES,-1.0000,-1.0000,0.7265,0.0045,ru96.67
HD39091,2454841.07342,-18.02,4.15,UCLES,-1.0000,-1.0000,0.7200,0.0051,ru96.68
HD39091,2454841.07997,-27.56,3.36,UCLES,-1.0000,-1.0000,0.7247,0.0043,ru96.69
HD39091,2454901.93904,-38.13,2.73,UCLES,-1.0000,-1.0000,0.7224,0.0041,ru97.1524
HD39091,2454901.94392,-38.29,3.06,UCLES,-1.0000,-1.0000,0.7216,0.0043,ru97.1525
HD39091,2454905.98665,-37.42,2.75,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru97.2666
HD39091,2454905.99192,-45.91,2.97,UCLES,-1.0000,-1.0000,0.7244,0.0037,ru97.2667
HD39091,2454905.99730,-37.09,2.65,UCLES,-1.0000,-1.0000,0.7293,0.0035,ru97.2668
HD39091,2454906.96904,-36.67,2.23,UCLES,-1.0000,-1.0000,0.7262,0.0029,ru97.2960
HD39091,2454906.97432,-39.68,2.21,UCLES,-1.0000,-1.0000,0.7254,0.0029,ru97.2961
HD39091,2454906.97971,-41.46,2.20,UCLES,-1.0000,-1.0000,0.7234,0.0031,ru97.2962
HD39091,2455106.23421,-60.84,3.19,UCLES,-1.0000,-1.0000,0.7244,0.004,rw02.1222
HD39091,2455106.24022,-60.46,3.56,UCLES,-1.0000,-1.0000,0.7266,0.0043,rw02.1223
HD39091,2455106.24594,-65.39,3.53,UCLES,-1.0000,-1.0000,0.7286,0.0042,rw02.1224
HD39091,2455170.22100,-72.44,3.77,UCLES,-1.0000,-1.0000,0.7290,0.0049,rw03.44
HD39091,2455170.22522,-69.34,4.83,UCLES,-1.0000,-1.0000,0.7262,0.0063,rw03.45
HD39091,2455170.22945,-82.42,4.67,UCLES,-1.0000,-1.0000,0.7258,0.0057,rw03.46
