#RESOURCE=yCat_17590019
#Name: J/ApJ/759/19
#Title: Precise radial velocities of {rho}^1^ Cancri (Endl+, 2012)
#INFO ivoid=ivo://cds.vizier/j/apj/759/19     IVOID of underlying data collection     
#INFO creator=Endl M.     First author or institution     
#INFO cites=bibcode:2012ApJ...759...19E     Article or Data origin sources     
#INFO editor=Astrophysical Journal (AAS)     Editor name (article)     
#INFO original_date=2012     Year of the article publication     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/759/19     Dataset landing page     
#INFO citation=doi:10.26093/cds/vizier.17590019     Dataset identifier that can be used for citation     
#INFO publication_date=2017-06-29     Date of first publication in the data centre     
#INFO rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html     Licence URI     
#Table J_ApJ_759_19_table1:
#Name: J/ApJ/759/19/table1
#Title: Precise radial velocity results
#---Details of Columns:
    BJD (d)      (F12.6) Barycentric Julian Date; (BJD-2400000) [ucd=time.epoch]
    RVel (m/s)   (F10.3) [-22682.7/28445.6] Differential radial velocity [ucd=phys.veloc;pos.heliocentric]
    e_RVel (m/s) (F5.2)  [1/11.8] Error in RVel [ucd=stat.error;spect.dopplerVeloc]
    Tel          (A9)    Telescope/Spectrograph combination used (1) [ucd=instr.setup]
------------ ---------- ----- ---------
                        e_             
                        RVel           
BJD (d)      RVel (m/s) (m/s) Tel      
------------ ---------- ----- ---------
53098.760396  28330.270  6.17 HET/HRS
53098.762953  28331.060  3.00 HET/HRS
53101.724363  28405.060  5.08 HET/HRS
53101.726968  28405.180  5.20 HET/HRS
53102.719399  28422.650  4.37 HET/HRS
53102.722004  28423.150  5.08 HET/HRS
53103.714699  28422.630  6.69 HET/HRS
53103.717301  28420.610  4.50 HET/HRS
53110.698491  28296.310  3.60 HET/HRS
53110.701096  28294.330  3.37 HET/HRS
53111.689267  28288.660  2.41 HET/HRS
53111.691881  28289.360  4.71 HET/HRS
53112.687749  28304.160  3.47 HET/HRS
53112.690350  28306.830  4.74 HET/HRS
53116.667710  28425.970  2.54 HET/HRS
53116.670316  28430.290  1.53 HET/HRS
53117.695252  28434.500  1.60 HET/HRS
53117.697860  28431.720  3.06 HET/HRS
51326.629453 -22567.529 11.80 HJST/Tull
51503.889809 -22568.259  2.70 HJST/Tull
51529.976108 -22626.990  1.28 HJST/Tull
51532.850231 -22546.880  3.39 HJST/Tull
51555.844726 -22613.150  2.02 HJST/Tull
51627.705948 -22601.619  2.71 HJST/Tull
51655.718872 -22562.950  1.87 HJST/Tull
51688.642998 -22676.900  1.92 HJST/Tull
51861.882277 -22615.119  1.79 HJST/Tull
51861.895203 -22622.139  2.79 HJST/Tull
51917.867086 -22557.659  1.84 HJST/Tull
51987.751128 -22591.869  2.79 HJST/Tull
52004.733465 -22550.490  3.48 HJST/Tull
52039.684730 -22668.180  4.20 HJST/Tull
52221.009274 -22622.909  2.39 HJST/Tull
52248.991238 -22655.189  2.49 HJST/Tull
52303.806854 -22679.909  5.86 HJST/Tull
52353.776502 -22608.380  2.97 HJST/Tull
52385.668372 -22560.650  2.29 HJST/Tull
52661.733255 -22611.360  3.98 HJST/Tull
52742.734490 -22676.270  2.33 HJST/Tull
52804.630184 -22682.650  3.41 HJST/Tull
53015.915222 -22547.569  2.68 HJST/Tull
53037.851194 -22661.490  1.07 HJST/Tull
53066.779437 -22680.400  2.79 HJST/Tull
53692.955325 -22574.560  4.90 HJST/Tull
53747.824024 -22488.119  5.58 HJST/Tull
53806.748197 -22494.439  1.20 HJST/Tull
53863.660171 -22521.490  3.83 HJST/Tull
54068.004039 -22526.009  1.77 HJST/Tull
54781.998828 -22583.619  5.50 HJST/Tull
54838.860312 -22582.860  2.16 HJST/Tull
55200.970252 -22490.130  2.81 HJST/Tull
55200.985155 -22490.810  2.35 HJST/Tull
55287.673698 -22464.610  3.83 HJST/Tull
55287.682405 -22470.860  4.16 HJST/Tull
55314.686713 -22484.159  6.30 HJST/Tull
55316.630269 -22456.810  1.87 HJST/Tull
55502.973684 -22558.520  5.96 HJST/Tull
55502.988672 -22531.439  7.70 HJST/Tull
55524.941400 -22538.520  2.81 HJST/Tull
55524.947152 -22537.540  3.33 HJST/Tull
55524.952902 -22533.119  3.21 HJST/Tull
55526.928491 -22596.159  2.31 HJST/Tull
55526.939830 -22596.029  2.47 HJST/Tull
55526.950839 -22595.009  2.04 HJST/Tull
55527.877401 -22613.509  3.98 HJST/Tull
55527.881994 -22602.279  2.04 HJST/Tull
55527.886586 -22604.299  2.14 HJST/Tull
55527.948992 -22601.159  2.75 HJST/Tull
55527.953583 -22600.939  1.95 HJST/Tull
55527.958177 -22606.590  1.67 HJST/Tull
55527.997977 -22606.439  2.35 HJST/Tull
55528.002569 -22602.220  2.18 HJST/Tull
55528.007162 -22608.500  3.45 HJST/Tull
55528.931144 -22601.939  6.46 HJST/Tull
55528.931144 -22599.639  7.38 HJST/Tull
55528.945448 -22607.000  3.75 HJST/Tull
55529.959891 -22599.669  2.14 HJST/Tull
55529.966800 -22601.860  3.14 HJST/Tull
55529.973705 -22596.869  1.65 HJST/Tull
55583.785833 -22564.349  2.52 HJST/Tull
55583.794710 -22565.610  3.08 HJST/Tull
55583.803438 -22554.029  3.58 HJST/Tull
55584.825341 -22587.020  4.71 HJST/Tull
55584.830115 -22586.279  1.88 HJST/Tull
55584.834910 -22587.650  2.83 HJST/Tull
55587.858813 -22627.020  4.57 HJST/Tull
55587.867265 -22628.659  3.97 HJST/Tull
55587.877052 -22631.310  4.54 HJST/Tull
55617.879403 -22593.930  2.83 HJST/Tull
55617.889677 -22595.130  2.54 HJST/Tull
55617.900688 -22593.229  2.75 HJST/Tull
55632.738798 -22601.490  3.62 HJST/Tull
55632.743944 -22600.540  1.56 HJST/Tull
55632.749078 -22598.279  2.77 HJST/Tull
55639.709952 -22495.389  3.04 HJST/Tull
55639.715880 -22497.990  3.89 HJST/Tull
55639.721968 -22499.549  3.23 HJST/Tull
55640.759707 -22508.349  1.90 HJST/Tull
55640.764655 -22510.860  2.47 HJST/Tull
55640.769602 -22512.459  1.33 HJST/Tull
55641.616259 -22536.119  1.83 HJST/Tull
55641.623272 -22535.009  5.13 HJST/Tull
55641.628106 -22533.680  1.79 HJST/Tull
