Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
57302,22049,apf,raci.194,2456667.812171,18.38,1.935638,-1,35087.0
57303,22049,apf,raci.195,2456667.813698,20.69,1.960181,-1,34768.0
57304,22049,apf,raci.196,2456667.815203,18.65,1.858115,-1,35177.0
57305,22049,apf,rack.165,2456671.758799,20.33,1.694279,-1,36512.0
57306,22049,apf,rack.166,2456671.760304,22.56,1.799392,-1,36350.0
57307,22049,apf,rack.167,2456671.761716,20.22,1.927257,-1,33714.0
57308,22049,apf,racm.186,2456675.755588,8.02,1.913522,-1,29669.0
57309,22049,apf,racm.187,2456675.756479,8.95,2.026253,-1,29602.0
57310,22049,apf,racm.188,2456675.757347,7.80,1.924622,-1,28072.0
57311,22049,apf,raco.182,2456679.762806,17.33,1.894152,-1,30830.0
57312,22049,apf,raco.183,2456679.764056,17.61,1.742733,-1,31354.0
57313,22049,apf,raco.184,2456679.765271,19.41,1.82942,-1,29847.0
57314,22049,apf,racp.164,2456682.668944,19.21,2.025926,-1,29291.0
57315,22049,apf,racp.165,2456682.670021,17.09,1.979579,-1,30575.0
57316,22049,apf,racp.166,2456682.671166,19.14,1.832508,-1,33652.0
57317,22049,apf,racp.188,2456682.757108,20.25,2.103857,-1,29975.0
57318,22049,apf,racp.189,2456682.758717,17.98,2.026814,-1,38647.0
57319,22049,apf,racp.190,2456682.760545,16.89,1.97075,-1,33145.0
57320,22049,apf,racr.157,2456689.646676,23.87,1.940182,-1,24474.0
57321,22049,apf,racr.158,2456689.648204,27.00,1.803444,-1,25385.0
57322,22049,apf,racr.159,2456689.649789,24.33,1.790363,-1,26879.0
57323,22049,apf,racr.169,2456689.738346,25.86,1.959234,-1,25558.0
57324,22049,apf,racr.170,2456689.740175,29.91,1.902387,-1,26233.0
57325,22049,apf,racr.171,2456689.742015,27.52,1.741921,-1,25893.0
57326,22049,apf,rafn.181,2456875.020281,6.97,2.168896,-1,24031.0
57327,22049,apf,rafy.258,2456895.025996,10.01,2.31194,-1,14697.0
57328,22049,apf,rafy.259,2456895.026888,6.34,2.399776,-1,14417.0
57329,22049,apf,rafy.260,2456895.027802,10.72,2.009674,-1,14201.0
57330,22049,apf,ragd.234,2456900.98766,12.15,2.427041,-1,7694.0
57331,22049,apf,ragd.235,2456900.988795,8.27,2.560517,-1,8285.0
57332,22049,apf,ragd.236,2456900.989952,9.70,2.826565,-1,7700.0
57333,22049,apf,ragh.246,2456909.028784,-6.27,1.88957,-1,17731.0
57334,22049,apf,ragh.247,2456909.029653,-2.34,2.036283,-1,17659.0
57335,22049,apf,ragh.248,2456909.030521,-2.71,2.134121,-1,17948.0
57336,22049,apf,ragn.196,2456922.005619,8.68,3.611974,-1,4451.0
57337,22049,apf,ragn.197,2456922.006313,12.63,3.602647,-1,4764.0
57338,22049,apf,ragn.198,2456922.006996,14.57,3.573049,-1,4025.0
57339,22049,apf,rags.218,2456935.93932,0.25,2.145376,-1,16205.0
57340,22049,apf,rags.219,2456935.940223,-1.57,2.117997,-1,15800.0
57341,22049,apf,rags.220,2456935.941137,-3.58,2.263468,-1,15172.0
57342,22049,apf,ragt.203,2456937.923041,-0.16,2.293204,-1,14814.0
57343,22049,apf,ragt.204,2456937.924001,0.05,2.243731,-1,13712.0
57344,22049,apf,ragt.205,2456937.924951,1.69,2.127166,-1,13694.0
57345,22049,apf,ragx.231,2456949.963795,7.95,2.46341,-1,12977.0
57346,22049,apf,ragx.232,2456949.964767,-1.18,2.503096,-1,12205.0
57347,22049,apf,ragx.233,2456949.965739,3.71,2.449492,-1,12982.0
57348,22049,apf,rahg.211,2456985.756761,3.85,3.319613,-1,4211.0
57349,22049,apf,rahg.213,2456985.758207,-6.19,4.034544,-1,3325.0
57350,22049,apf,rahh.249,2456988.776549,5.71,2.177847,-1,15117.0
57351,22049,apf,rahh.250,2456988.777463,6.86,2.221581,-1,15268.0
57352,22049,apf,rahh.251,2456988.778378,5.77,2.350927,-1,13762.0
57353,22049,apf,rahj.184,2456999.76336,10.02,2.381064,-1,13102.0
57354,22049,apf,rahj.185,2456999.764321,8.04,2.400558,-1,13513.0
57355,22049,apf,rahj.186,2456999.765281,10.04,2.297235,-1,13611.0
57356,22049,apf,rahn.197,2457015.727499,0.79,1.83587,-1,24393.0
57357,22049,apf,rahn.198,2457015.729177,-3.15,1.905936,-1,24069.0
57358,22049,apf,rahn.199,2457015.730901,-3.94,1.878141,-1,23963.0
57359,22049,apf,raho.196,2457026.706081,-2.99,2.184667,-1,13016.0
57360,22049,apf,raho.197,2457026.707018,-0.26,2.426212,-1,13222.0
57361,22049,apf,raho.198,2457026.707956,1.06,2.28949,-1,14456.0
57362,22049,apf,raie.186,2457058.605421,-8.51,3.41404,-1,4455.0
57363,22049,apf,raie.187,2457058.606173,-2.06,3.861088,-1,3314.0
57364,22049,apf,raie.188,2457058.607122,-0.00,2.680545,-1,8010.0
57365,22049,apf,raks.315,2457234.00825,7.47,2.46831,-1,15371.0
57366,22049,apf,raks.316,2457234.009129,8.11,2.276435,-1,16134.0
57367,22049,apf,raks.317,2457234.009986,8.53,2.447214,-1,16931.0
57368,22049,apf,rakx.277,2457245.93459,-6.02,2.594389,-1,13009.0
57369,22049,apf,rakx.278,2457245.935528,-1.93,2.435311,-1,13019.0
57370,22049,apf,rakx.279,2457245.936442,-3.46,2.289775,-1,14126.0
57371,22049,apf,rakz.301,2457250.002338,-3.48,2.419654,-1,13685.0
57372,22049,apf,rakz.302,2457250.003253,-2.63,2.230998,-1,15672.0
57373,22049,apf,rakz.303,2457250.004167,-5.13,2.194233,-1,13784.0
57374,22049,apf,rala.212,2457252.965199,4.05,2.299479,-1,13426.0
57375,22049,apf,rala.213,2457252.966101,4.39,2.337313,-1,16071.0
57376,22049,apf,rala.214,2457252.96697,8.35,2.264454,-1,16646.0
57377,22049,apf,ralc.261,2457257.009897,2.88,1.976472,-1,19746.0
57378,22049,apf,ralc.262,2457257.010661,-0.58,2.057685,-1,19926.0
57379,22049,apf,ralc.263,2457257.011425,-3.27,1.891019,-1,19860.0
57380,22049,apf,rald.302,2457258.943615,-10.39,2.033773,-1,20745.0
57381,22049,apf,rald.303,2457258.944379,-11.70,2.144813,-1,21474.0
57382,22049,apf,rald.304,2457258.945131,-14.74,1.973458,-1,21512.0
57383,22049,apf,rale.299,2457260.948205,0.51,2.231447,-1,19544.0
57384,22049,apf,rale.300,2457260.948969,-4.41,2.325944,-1,19973.0
57385,22049,apf,rale.301,2457260.949744,-2.49,2.331968,-1,19551.0
57386,22049,apf,ralf.255,2457262.944251,-7.31,2.180184,-1,18388.0
57387,22049,apf,ralf.256,2457262.945085,-5.06,2.37629,-1,17951.0
57388,22049,apf,ralf.257,2457262.945906,-9.50,2.361059,-1,17879.0
57389,22049,apf,ralg.327,2457266.030142,10.75,2.210696,-1,16114.0
57390,22049,apf,ralg.328,2457266.031022,7.93,2.101828,-1,16480.0
57391,22049,apf,ralg.329,2457266.03189,11.82,2.137065,-1,16331.0
57392,22049,apf,ralk.319,2457275.012254,0.83,2.078493,-1,18925.0
57393,22049,apf,ralk.320,2457275.013064,-0.68,2.01818,-1,18708.0
57394,22049,apf,ralk.321,2457275.01384,-4.20,2.106697,-1,18641.0
57395,22049,apf,ralp.303,2457284.036107,1.22,2.117653,-1,15899.0
57396,22049,apf,ralp.304,2457284.036951,1.58,2.118628,-1,15910.0
57397,22049,apf,ralp.305,2457284.037877,3.38,2.403279,-1,13536.0
57398,22049,apf,ralq.320,2457287.026471,0.44,2.377063,-1,18647.0
57399,22049,apf,ralq.321,2457287.027305,0.85,2.235893,-1,16803.0
57400,22049,apf,ralq.322,2457287.028138,-5.22,2.155554,-1,17807.0
57401,22049,apf,ralr.247,2457290.955555,2.82,2.499813,-1,15089.0
57402,22049,apf,ralr.248,2457290.956331,-1.17,2.468469,-1,13713.0
57403,22049,apf,ralr.249,2457290.957071,6.57,2.301119,-1,14363.0
57404,22049,apf,ralx.275,2457305.908989,-4.38,2.260501,-1,19287.0
57405,22049,apf,ralx.276,2457305.909753,-3.33,2.129276,-1,20980.0
57406,22049,apf,ralx.277,2457305.910517,-7.04,1.980638,-1,20572.0
57407,22049,apf,raly.276,2457308.907648,14.97,2.235059,-1,19269.0
57408,22049,apf,raly.277,2457308.908424,12.81,2.131865,-1,18947.0
57409,22049,apf,raly.278,2457308.909211,12.87,2.222243,-1,19725.0
57410,22049,apf,ramc.250,2457318.906774,9.96,2.025195,-1,16537.0
57411,22049,apf,ramc.251,2457318.907642,10.59,2.140576,-1,15450.0
57412,22049,apf,ramc.252,2457318.908568,7.69,2.348418,-1,13979.0
57413,22049,apf,ramd.241,2457321.864081,5.88,2.509586,-1,13084.0
57414,22049,apf,ramd.242,2457321.864787,4.79,2.183091,-1,13711.0
57415,22049,apf,ramd.243,2457321.865482,9.38,2.230016,-1,13151.0
