Name,BJD,RV,e_RV,S,H,Count,Exp,Nrv
HD219134,2453926.09222,6.53,0.84,0.2780,0.03724,97100,26,335
HD219134,2453926.09302,8.27,0.98,0.2729,0.03720,94539,25,335
HD219134,2453982.95452,10.69,1.16,0.3171,0.03686,94604,22,335
HD219134,2453982.95530,9.20,1.12,0.3132,-1.00000,93958,22,335
HD219134,2453982.95605,10.03,1.11,0.3155,0.03685,97890,22,335
HD219134,2454084.86601,10.66,1.20,0.3677,0.03676,72200,66,335
HD219134,2454084.86721,7.92,1.25,0.3789,0.03683,71468,55,335
HD219134,2454084.86827,8.72,1.22,0.3708,0.03692,72113,43,335
HD219134,2454085.83306,11.00,1.08,0.3750,0.03677,73023,57,335
HD219134,2454085.83422,12.79,1.23,0.3843,0.03676,70928,52,335
HD219134,2454085.83538,13.36,1.35,0.3781,0.03675,71017,67,335
HD219134,2454248.09675,-1.12,1.13,0.3193,0.03695,73129,21,335
HD219134,2454249.09124,2.18,1.20,0.3070,0.03702,70732,21,335
HD219134,2454250.12849,-1.11,1.18,0.2996,0.03707,73810,17,335
HD219134,2454251.11852,0.76,1.20,0.3060,0.03710,71623,15,335
HD219134,2454279.09042,1.01,1.02,0.3355,0.03690,73382,26,335
HD219134,2454280.12778,4.75,0.92,0.3339,0.03688,71358,78,335
HD219134,2454286.13166,1.72,1.00,0.3261,0.03672,70447,107,335
HD219134,2454295.10285,7.74,1.07,0.3267,0.03689,77012,16,335
HD219134,2454305.12228,8.39,1.03,0.3380,0.03684,73016,17,335
HD219134,2454305.12299,8.30,1.00,0.3357,0.03681,78135,17,335
HD219134,2454306.07367,6.73,1.09,0.3438,0.03693,76953,16,335
HD219134,2454306.07436,7.64,1.01,0.3431,0.03693,76480,16,335
HD219134,2454307.06265,7.02,1.06,0.3425,0.03668,77758,16,335
HD219134,2454307.06332,7.07,0.88,0.3432,0.03666,77166,15,335
HD219134,2454308.10664,12.73,0.96,0.3495,0.03686,75777,36,335
HD219134,2454309.08978,8.59,0.98,0.3389,0.03683,74024,27,335
HD219134,2454309.09141,10.09,0.89,0.3456,0.03691,72028,24,335
HD219134,2454310.09046,10.19,0.94,0.3538,0.03690,75153,30,335
HD219134,2454310.09130,8.73,1.05,0.3620,0.03689,72011,30,335
HD219134,2454311.06907,12.64,1.07,0.3518,0.03679,71714,17,335
HD219134,2454311.06991,14.79,0.99,0.3459,0.03676,73204,19,335
HD219134,2454312.06490,11.78,1.02,0.3477,0.03684,74934,26,335
HD219134,2454312.06567,13.81,0.95,0.3510,0.03682,74163,20,335
HD219134,2454313.05712,14.40,0.89,0.3528,0.03688,73359,21,335
HD219134,2454313.07906,12.52,1.05,0.3464,0.03687,73793,20,335
HD219134,2454314.05181,16.07,0.92,0.3498,0.03683,71750,17,335
HD219134,2454314.05264,17.17,0.92,0.3483,0.03681,76342,18,335
HD219134,2454315.08912,14.70,0.86,0.3444,0.03690,72124,22,335
HD219134,2454315.09016,14.39,1.04,0.3488,0.03693,76554,20,335
HD219134,2454336.09127,1.12,1.07,0.3234,0.03670,75685,19,335
HD219134,2454336.09199,2.10,1.12,0.3221,0.03669,77196,20,335
HD219134,2454344.04381,-1.14,1.22,0.3050,0.03666,70845,0,335
HD219134,2454396.76058,4.12,1.23,0.3016,0.03669,73911,0,335
HD219134,2454397.79832,9.11,1.20,0.2915,0.03670,73321,0,335
HD219134,2454398.80135,9.71,1.22,0.2946,0.03668,69752,0,335
HD219134,2454398.80523,8.16,1.29,0.2911,0.03665,71832,0,335
HD219134,2454601.12223,-2.36,1.11,0.2740,0.03696,72372,29,335
HD219134,2454636.11237,8.99,1.08,0.2908,0.03691,47873,12,335
HD219134,2454667.10220,0.05,0.90,0.2832,0.03669,75710,21,335
HD219134,2454667.98510,-6.48,0.95,0.2869,0.03672,73638,30,335
HD219134,2454674.11339,0.49,0.92,0.3056,0.03677,73097,15,335
HD219134,2454674.99572,1.68,1.12,0.3049,0.03669,49068,10,335
HD219134,2454676.06776,6.77,0.98,0.3068,0.03673,74865,30,335
HD219134,2454676.06866,5.12,0.88,0.3002,0.03670,72913,35,335
HD219134,2454702.10583,-5.28,1.23,0.2810,0.03693,77042,20,335
HD219134,2454703.99631,-1.55,1.17,0.2816,0.03686,77817,18,335
HD219134,2454725.04733,5.02,1.37,0.2959,0.03683,48506,14,335
HD219134,2454778.86153,1.33,1.25,0.2855,0.03693,43520,149,335
HD219134,2454810.78963,-6.22,1.17,0.3011,0.03707,44834,12,335
HD219134,2454819.86002,1.67,1.09,0.2888,0.03678,75126,33,335
HD219134,2454870.70475,-0.81,1.12,0.2995,0.03679,72396,79,335
HD219134,2454984.12427,-10.60,1.26,0.2749,0.03680,48519,12,335
HD219134,2455016.09324,-5.62,1.01,0.2587,0.03695,47266,13,335
HD219134,2455022.08862,-5.13,1.01,0.2644,0.03687,72530,19,335
HD219134,2455022.08936,-6.69,1.00,0.2518,0.03683,75620,20,335
HD219134,2455022.09013,-4.81,1.05,0.2523,0.03688,76225,23,335
HD219134,2455022.09090,-5.07,0.91,0.2431,0.03694,77047,23,335
HD219134,2455023.02038,-5.74,0.95,0.2692,0.03693,77965,18,335
HD219134,2455023.02120,-4.44,0.95,0.2690,0.03689,77536,17,335
HD219134,2455023.02202,-2.92,0.97,0.2691,0.03682,77741,17,335
HD219134,2455023.02274,-2.72,0.98,0.2732,0.03690,74439,16,335
HD219134,2455053.94756,-0.59,0.93,0.2690,0.03707,79816,19,335
HD219134,2455053.94827,0.12,1.04,0.2695,0.03697,74695,17,335
HD219134,2455053.94898,2.18,0.94,0.2678,0.03697,76726,18,335
HD219134,2455053.94971,1.16,1.04,0.2656,0.03712,77486,17,335
HD219134,2455082.14735,-13.75,1.22,0.3044,0.03698,47876,13,335
HD219134,2455082.14801,-13.12,1.37,0.2882,0.03693,47813,12,335
HD219134,2455082.14867,-10.39,1.20,0.3209,0.03687,49714,13,335
HD219134,2455109.86650,-1.08,1.41,0.2607,0.03714,50031,12,335
HD219134,2455134.89435,-7.07,1.11,0.2765,0.03693,49142,13,335
HD219134,2455143.79213,-4.01,1.12,0.2547,0.03681,76084,40,335
HD219134,2455143.79314,0.01,1.23,0.2539,0.03699,76559,42,335
HD219134,2455143.79411,1.53,1.20,0.2570,0.03679,75692,38,335
HD219134,2455143.79503,1.27,1.20,0.2621,0.03689,74491,34,335
HD219134,2455143.79593,-0.45,1.25,0.2575,0.03686,75500,32,335
HD219134,2455167.83970,-15.15,1.30,0.2697,0.03688,74962,19,335
HD219134,2455167.84045,-16.47,1.19,0.2774,0.03688,76460,20,335
HD219134,2455167.84120,-12.22,1.22,0.2674,0.03689,76477,20,335
HD219134,2455167.84194,-14.29,1.14,0.2731,0.03692,77883,21,335
HD219134,2455167.84266,-12.90,1.19,0.2741,0.03688,74917,18,335
HD219134,2455172.79906,-13.15,1.08,0.2704,0.03693,51495,12,335
HD219134,2455188.81014,-2.69,1.08,0.2750,0.03684,47042,19,335
HD219134,2455190.69526,-5.89,1.28,0.2698,0.03669,49038,19,335
HD219134,2455192.69214,-6.08,0.98,0.2744,0.03675,49621,12,335
HD219134,2455196.69032,-8.99,1.03,0.2391,0.03676,49569,14,335
HD219134,2455197.69108,-13.56,1.87,0.0890,0.03625,44108,38,335
HD219134,2455198.68780,-5.30,1.11,0.2416,0.03685,47419,12,335
HD219134,2455200.84082,-7.26,1.02,0.2483,0.03692,79128,32,335
HD219134,2455200.84174,-9.58,1.16,0.2539,0.03683,75769,37,335
HD219134,2455200.84272,-7.71,1.22,0.2649,0.03685,81366,45,335
HD219134,2455200.84374,-9.17,1.07,0.2470,0.03684,79324,37,335
HD219134,2455200.84469,-7.60,1.14,0.2273,0.03681,80918,39,335
HD219134,2455202.84490,-6.01,0.96,0.2536,0.03681,75537,26,335
HD219134,2455202.84572,-7.22,1.01,0.2990,0.03682,78451,23,335
HD219134,2455370.99579,-7.43,1.06,0.2538,0.03665,78238,48,335
HD219134,2455370.99678,-8.13,1.11,0.2539,0.03655,77365,39,335
HD219134,2455370.99777,-9.64,1.03,0.2467,0.03670,76292,46,335
HD219134,2455370.99895,-6.65,1.01,0.2513,0.03665,77407,60,335
HD219134,2455374.09155,-8.18,1.06,0.2488,0.03674,51089,12,335
HD219134,2455396.08721,-11.83,1.17,0.2493,0.03698,51826,15,335
HD219134,2455396.08789,-13.46,1.25,0.2488,0.03700,51901,15,335
HD219134,2455396.08860,-13.45,1.41,0.2535,0.03698,53071,16,335
HD219134,2455402.13411,-12.80,1.21,0.2450,0.03698,46901,51,335
HD219134,2455404.93795,-14.67,1.19,0.2469,0.03690,47218,43,335
HD219134,2455407.13670,-8.89,0.97,0.2403,0.03692,47353,10,335
HD219134,2455463.03615,-8.48,1.08,0.2478,0.03704,76364,19,335
HD219134,2455463.03688,-6.69,1.13,0.2522,0.03696,77906,20,335
HD219134,2455463.03763,-7.58,1.08,0.2512,0.03702,78370,20,335
HD219134,2455463.03838,-7.11,1.16,0.2512,0.03704,80568,21,335
HD219134,2455463.03913,-8.51,1.18,0.2535,0.03705,79402,21,335
HD219134,2455463.86469,-9.92,1.16,0.2483,0.03700,78026,17,335
HD219134,2455463.86542,-7.07,1.12,0.2444,0.03693,80946,17,335
HD219134,2455463.86610,-7.87,0.96,0.2494,0.03700,79200,16,335
HD219134,2455463.86692,-7.40,1.00,0.2504,0.03705,80174,16,335
HD219134,2455463.86762,-8.19,1.11,0.2505,0.03698,79377,16,335
HD219134,2455463.86831,-8.47,0.95,0.2458,0.03696,76685,16,335
HD219134,2455464.96083,-6.37,1.13,0.2356,0.03683,51508,13,335
HD219134,2455490.87169,-9.09,1.33,0.2489,0.03705,50947,13,335
HD219134,2455515.97279,-5.89,1.11,0.2522,0.03705,78697,31,335
HD219134,2455515.97366,-7.98,1.11,0.2456,0.03703,79036,29,335
