_tab5_1,RV,e_RV,FWHM,Contrast,Bisector,logR_HK,Texp
6268.417405,-18.41182,0.00049,6.09809,49.521,0.01104,-5.0216,900
6268.419222,-18.41192,0.00049,6.09942,49.512,0.01126,-5.0213,900
6268.421027,-18.41202,0.00049,6.09718,49.524,0.01063,-5.0213,900
6268.422821,-18.41168,0.00048,6.09939,49.515,0.01138,-5.0222,900
6268.424615,-18.41250,0.00048,6.09937,49.510,0.01030,-5.0212,900
6285.313540,-18.41517,0.00054,6.09951,49.499,0.01179,-5.0056,900
6285.361790,-18.41565,0.00056,6.10032,49.509,0.01163,-5.0065,900
6285.417956,-18.41568,0.00045,6.10197,49.462,0.01114,-5.0072,900
6285.423581,-18.41595,0.00046,6.10241,49.457,0.01316,-5.0040,900
6482.713819,-18.41711,0.00054,6.12925,49.332,0.01105,-5.0408,900
6482.716366,-18.41704,0.00055,6.13216,49.320,0.00984,-5.0394,900
6482.719016,-18.41808,0.00052,6.12912,49.324,0.00954,-5.0395,900
6482.721667,-18.41731,0.00054,6.13039,49.326,0.01066,-5.0314,900
6482.724260,-18.41774,0.00052,6.12932,49.324,0.01020,-5.0396,900
6499.730151,-18.41541,0.00042,6.13003,49.250,0.01011,-5.0293,900
6499.733947,-18.41523,0.00042,6.12961,49.249,0.01012,-5.0268,900
6499.737755,-18.41505,0.00042,6.12937,49.245,0.01020,-5.0284,900
6510.694814,-18.41447,0.00043,6.13004,49.232,0.01005,-5.0407,900
6510.700312,-18.41400,0.00043,6.12915,49.234,0.01006,-5.0433,900
6527.490905,-18.42401,0.00074,6.13337,49.273,0.00998,-5.0520,900
6527.496136,-18.42599,0.00263,6.11854,48.809,0.00303,-5.1636,900
6527.546127,-18.42392,0.00051,6.13093,49.284,0.00899,-5.0434,900
6527.551706,-18.42406,0.00049,6.12850,49.287,0.00990,-5.0414,900
6527.631119,-18.42436,0.00049,6.13122,49.271,0.00842,-5.0439,900
6527.636629,-18.42358,0.00048,6.13011,49.276,0.00960,-5.0404,900
6529.496030,-18.41917,0.00043,6.13148,49.221,0.00966,-5.0309,900
6529.499803,-18.41937,0.00043,6.13122,49.221,0.00890,-5.0355,900
6529.503623,-18.41949,0.00043,6.13087,49.228,0.00939,-5.0357,900
6529.631070,-18.41757,0.00044,6.12905,49.257,0.00970,-5.0279,900
6529.634878,-18.41704,0.00043,6.12942,49.248,0.01022,-5.0271,900
6529.638710,-18.41681,0.00044,6.12872,49.257,0.00939,-5.0251,900
6563.533093,-18.41799,0.00042,6.13320,49.181,0.01069,-5.0529,900
6563.538452,-18.41844,0.00043,6.13428,49.204,0.01066,-5.0540,900
6569.534710,-18.41944,0.00044,6.13591,49.227,0.00982,-5.0495,900
6569.538206,-18.42020,0.00044,6.13624,49.216,0.00981,-5.0520,900
6569.541933,-18.42123,0.00045,6.13676,49.223,0.01060,-5.0517,900
6570.384269,-18.42350,0.00053,6.13763,49.259,0.00920,-5.0577,900
6570.386028,-18.42320,0.00050,6.13595,49.256,0.01092,-5.0537,900
6570.387579,-18.42299,0.00049,6.13782,49.256,0.01069,-5.0487,900
6570.389315,-18.42362,0.00052,6.13706,49.267,0.00957,-5.0546,900
6570.390959,-18.42367,0.00050,6.13683,49.255,0.01058,-5.0545,900
6570.515208,-18.42434,0.00049,6.13736,49.246,0.01173,-5.0507,900
6570.516898,-18.42450,0.00048,6.13695,49.256,0.01138,-5.0505,900
6570.518599,-18.42418,0.00048,6.13801,49.251,0.01019,-5.0537,900
6570.520277,-18.42489,0.00049,6.13632,49.250,0.00875,-5.0521,900
6570.521932,-18.42543,0.00049,6.13619,49.252,0.00989,-5.0521,900
6573.533142,-18.41989,0.00043,6.13649,49.204,0.01068,-5.0481,900
6573.536880,-18.42020,0.00042,6.13579,49.197,0.01123,-5.0441,900
6573.540573,-18.42000,0.00043,6.13592,49.200,0.01038,-5.0456,900
6573.615608,-18.42183,0.00043,6.13676,49.210,0.01091,-5.0489,900
6573.619323,-18.42148,0.00043,6.13821,49.201,0.01043,-5.0478,900
6573.623119,-18.42125,0.00043,6.13688,49.192,0.01045,-5.0464,900
6604.304312,-18.41946,0.00045,6.14588,49.155,0.01296,-5.0324,900
6604.306916,-18.41912,0.00055,6.14597,49.153,0.01231,-5.0311,900
6604.309474,-18.41879,0.00045,6.14556,49.147,0.01192,-5.0335,900
6604.312182,-18.41963,0.00046,6.14669,49.157,0.01312,-5.0336,900
6604.314728,-18.41989,0.00047,6.14524,49.170,0.01184,-5.0365,900
6604.402111,-18.41914,0.00046,6.14545,49.162,0.01303,-5.0336,900
6604.404657,-18.42000,0.00046,6.14616,49.155,0.01218,-5.0357,900
6604.407319,-18.41949,0.00045,6.14454,49.153,0.01214,-5.0329,900
6604.409877,-18.41973,0.00045,6.14523,49.154,0.01259,-5.0340,900
6604.412469,-18.41973,0.00046,6.14496,49.159,0.01181,-5.0333,900
6606.306384,-18.41476,0.00075,6.14484,49.223,0.01038,-5.0468,900
6606.310122,-18.41609,0.00072,6.14636,49.222,0.00914,-5.0450,900
6606.313733,-18.41626,0.00069,6.14360,49.221,0.01268,-5.0424,900
6606.383812,-18.41450,0.00099,6.14234,49.254,0.01354,-5.0579,900
6606.387516,-18.41646,0.00101,6.14429,49.231,0.01347,-5.0603,900
6606.390652,-18.41684,0.00095,6.14386,49.252,0.01228,-5.0389,900
6608.304482,-18.42210,0.00055,6.15495,49.343,0.00857,-5.0353,900
6608.308000,-18.42212,0.00048,6.14440,49.173,0.01176,-5.0371,900
6608.312271,-18.42230,0.00047,6.14504,49.165,0.01114,-5.0342,900
6608.399989,-18.41843,0.00043,6.13910,49.160,0.01153,-5.0268,900
6608.403739,-18.41733,0.00054,6.13815,49.161,0.01186,-5.0248,900
6608.407500,-18.41905,0.00043,6.13998,49.156,0.01034,-5.0273,900
6611.382569,-18.42179,0.00044,6.14334,49.173,0.01027,-5.0455,900
6611.386389,-18.42238,0.00044,6.14293,49.175,0.01018,-5.0460,900
6611.390057,-18.42212,0.00044,6.14314,49.173,0.01097,-5.0437,900
6611.496999,-18.42247,0.00053,6.14684,49.206,0.01092,-5.0450,900
6611.500575,-18.42209,0.00049,6.14472,49.198,0.01120,-5.0437,900
6611.504267,-18.42190,0.00049,6.14288,49.201,0.01067,-5.0459,900
6670.315244,-18.42471,0.00046,6.15709,49.069,0.01193,-5.0239,900
6670.318993,-18.42385,0.00046,6.15776,49.070,0.01161,-5.0243,900
6670.322847,-18.42343,0.00047,6.15589,49.070,0.01236,-5.0232,900
6671.305463,-18.42103,0.00043,6.15759,49.038,0.01177,-5.0194,900
6671.309167,-18.42034,0.00043,6.15746,49.042,0.01116,-5.0241,900
6671.312928,-18.42075,0.00043,6.15719,49.045,0.01080,-5.0233,900
6672.307754,-18.42336,0.00051,6.15780,49.077,0.01349,-5.0247,900
6672.311712,-18.42292,0.00049,6.15712,49.071,0.01201,-5.0226,900
6672.315346,-18.42253,0.00054,6.15582,49.093,0.01114,-5.0246,900
6673.317915,-18.42175,0.00053,6.15684,49.102,0.01122,-5.0255,900
6673.321456,-18.42182,0.00050,6.15739,49.091,0.00953,-5.0239,900
