jd rv e_rv
2454097.67291  23.1332 0.0043
2454097.68020  23.1324 0.0043
2454889.51926  23.1348 0.0043
2454904.50409  23.1351 0.0045
2455238.50655  23.1079 0.0045
2455267.54064  23.1007 0.0046
2455525.68715  23.0984 0.0043
2455526.70981  23.0989 0.0044
2455527.67595  23.0979 0.0042
2455586.56773  23.0925 0.0043
2455615.48424  23.1047 0.0044
