HD,HIP,_tab3_3,RVel,e_RVel,Inst
154345,,2451311.065486,-4.72,1.57,k
154345,,2451368.789491,-2.60,1.62,k
154345,,2451441.713877,1.71,1.27,k
154345,,2451705.917836,8.97,1.59,k
154345,,2452003.078183,9.06,2.23,k
154345,,2452098.916539,15.85,1.56,k
154345,,2452128.797813,13.38,1.62,k
154345,,2452333.173299,16.78,1.68,k
154345,,2452487.860197,14.22,1.50,k
154345,,2452776.985463,8.62,1.69,k
154345,,2452806.951852,-1.76,1.58,k
154345,,2452833.801030,6.06,1.45,k
154345,,2452848.772037,3.97,1.49,k
154345,,2452897.776562,5.20,1.55,k
154345,,2453072.046921,-2.36,1.57,k
154345,,2453074.077766,-0.06,1.59,k
154345,,2453077.128090,-0.83,1.49,k
154345,,2453153.943171,-6.09,1.67,k
154345,,2453179.992454,-0.72,1.58,k
154345,,2453195.819190,-3.75,1.47,k
