jd rv e_rv
2450796.70270  23.059  0.009
2450822.59530  23.030  0.009
2450823.59750  23.032  0.009
2450824.59000  23.039  0.009
2450859.52380  23.045  0.009
2450888.48800  23.021  0.010
2450888.50040  23.022  0.010
2450908.39060  23.032  0.009
2450942.37900  23.019  0.009
2450972.34880  23.010  0.009
2451153.72040  23.056  0.012
2451177.62610  23.041  0.010
2451234.51360  23.007  0.010
2451507.69750  23.053  0.009
2451562.57770  23.059  0.013
2451623.44230  23.024  0.010
2451626.41540  23.049  0.011
2451655.37180  23.055  0.010
2451953.65880  23.129  0.017
2451954.57500  23.070  0.012
2451955.52670  23.072  0.011
2451956.49000  23.075  0.010
2451978.48600  23.022  0.033
2451979.46550  23.038  0.011
2452007.35270  23.096  0.012
2452008.38870  23.082  0.013
2452009.47000  23.060  0.019
2452010.43190  23.056  0.013
2452033.36360  23.102  0.014
2452038.38040  23.071  0.010
2452248.71710  23.164  0.025
2452248.72820  23.138  0.015
2452252.68720  23.103  0.016
2452252.70430  23.109  0.011
2452356.44340  23.085  0.019
2452356.45680  23.133  0.018
2452358.43760  23.117  0.011
2452388.41390  23.070  0.010
2452649.68980  23.044  0.015
2452677.55470  23.068  0.011
2452719.43880  23.050  0.008
2452996.58680  23.060  0.015
2453726.63150  23.083  0.013
2453750.72660  23.075  0.016
2453756.57870  23.050  0.014
2453842.36680  23.081  0.013
