Name,BJD,RV,e_RV,S,H,Count,Exp,Nrv
HD154345,2450547.11003,-24.84,1.45,0.1776,-1.00000,145173,250,212
HD154345,2450603.95585,-19.47,1.40,0.1883,-1.00000,201487,200,212
HD154345,2450956.01562,-17.79,1.54,0.1784,-1.00000,164367,191,212
HD154345,2450982.96363,-16.38,1.37,0.1874,-1.00000,136427,130,212
HD154345,2451013.86866,-13.83,1.52,0.1430,-1.00000,97932,80,212
HD154345,2451311.06549,-14.44,1.52,0.1750,-1.00000,157408,130,212
HD154345,2451368.78949,-11.54,1.53,0.1686,-1.00000,72343,80,212
HD154345,2451441.71388,-7.68,1.32,0.1882,-1.00000,78826,85,212
HD154345,2451705.91784,0.89,1.53,0.1990,-1.00000,91725,122,212
HD154345,2452003.07818,0.00,2.19,0.1682,-1.00000,26285,600,212
HD154345,2452098.91654,6.31,1.49,0.1604,-1.00000,86984,86,212
HD154345,2452128.79781,2.19,1.62,0.1764,-1.00000,85924,61,212
HD154345,2452333.17330,6.13,1.69,0.1644,-1.00000,84715,61,212
HD154345,2452487.86020,3.45,1.50,0.1819,-1.00000,87830,62,212
HD154345,2452776.98546,-2.86,1.74,0.1684,-1.00000,106524,63,212
HD154345,2452806.95185,-9.80,1.61,0.1662,-1.00000,99807,61,212
HD154345,2452833.80103,-3.33,1.43,0.1665,-1.00000,98919,59,212
HD154345,2452848.77204,-4.81,1.54,0.1702,-1.00000,95747,61,212
HD154345,2452897.77656,-4.87,1.53,0.1629,-1.00000,102720,131,212
HD154345,2453072.04692,-11.72,1.52,0.1600,-1.00000,99263,95,212
HD154345,2453074.07777,-10.10,1.51,0.1638,-1.00000,104650,77,212
HD154345,2453077.12809,-10.05,1.48,0.1652,-1.00000,105653,71,212
HD154345,2453153.94317,-16.50,1.59,0.1700,-1.00000,100513,63,212
HD154345,2453179.99245,-11.15,1.54,0.1811,-1.00000,99483,68,212
HD154345,2453195.81919,-12.20,1.51,0.1584,-1.00000,100222,63,212
HD154345,2453428.16103,-19.09,1.27,0.1778,0.03204,101417,89,212
HD154345,2453428.16260,-21.23,1.31,0.1771,0.03190,100425,94,212
HD154345,2453428.16420,-21.82,1.49,0.1789,0.03199,100907,103,212
HD154345,2453547.91306,-19.09,1.30,0.1654,0.03206,97698,71,212
HD154345,2453547.91440,-18.28,1.42,0.1642,0.03207,100459,74,212
HD154345,2453547.91578,-17.65,1.29,0.1639,0.03207,99555,74,212
HD154345,2453604.82910,-21.33,1.28,0.1596,0.03196,104791,76,212
HD154345,2453604.83048,-22.40,1.22,0.1587,0.03195,104775,77,212
HD154345,2453604.83190,-19.66,1.33,0.1594,0.03198,104826,75,212
HD154345,2453777.15535,-23.74,1.42,0.1455,0.03204,104380,67,212
HD154345,2453807.07726,-25.54,1.40,0.1510,0.03212,105238,84,212
HD154345,2454248.02705,-20.34,1.45,0.1707,0.03187,73492,60,212
HD154345,2454248.99488,-20.08,1.39,0.1676,0.03192,74466,60,212
HD154345,2454249.94937,-24.74,1.36,0.1665,0.03206,76827,52,212
HD154345,2454252.03638,-20.89,1.51,0.1663,0.03200,56440,40,212
HD154345,2454252.03735,-18.21,1.66,0.1635,0.03191,55524,39,212
HD154345,2454255.93244,-22.46,1.59,0.1681,0.03206,55461,33,212
HD154345,2454255.93331,-22.12,1.42,0.1690,0.03207,55937,33,212
HD154345,2454277.86162,-15.32,1.52,0.1650,0.03212,74786,66,212
HD154345,2454278.90520,-16.46,1.33,0.1683,0.03204,74708,78,212
HD154345,2454279.94294,-13.07,1.41,0.1694,0.03209,73297,109,212
HD154345,2454285.90396,-16.35,1.43,0.1721,0.03211,73676,183,212
HD154345,2454294.89079,-22.59,1.28,0.1595,0.03215,73388,54,212
HD154345,2454304.87667,-23.13,1.35,0.1685,0.03201,74507,48,212
HD154345,2454304.87775,-24.14,1.28,0.1668,0.03201,75335,50,212
HD154345,2454305.88137,-23.90,1.32,0.1729,0.03216,74583,44,212
HD154345,2454305.88237,-19.12,1.46,0.1695,0.03211,73982,44,212
HD154345,2454306.87585,-24.23,1.33,0.1730,0.03200,75872,44,212
HD154345,2454306.87685,-21.92,1.37,0.1721,0.03200,75901,46,212
