Phase,Seq,BJD,dRV,e_dRV,SHK,e_SHK
III,165,2455173.68141,-12.3,5.7,0.223,0.020
III,166,2455200.58488,-8.6,4.9,0.232,0.020
III,167,2455200.59201,-11.8,5.1,0.228,0.020
III,168,2455438.89874,-5.3,5.0,0.215,0.019
III,169,2455438.90344,-11.8,4.7,0.223,0.021
III,170,2455466.81888,-13.7,4.1,0.224,0.020
III,171,2455466.82381,-8.6,4.4,0.229,0.021
III,172,2455466.82988,-5.8,4.2,0.232,0.021
III,173,2455499.76242,1.4,5.0,0.238,0.019
III,174,2455499.76709,-1.5,4.6,0.234,0.019
III,175,2455499.77235,-9.5,4.6,0.238,0.021
III,176,2455500.79439,-6.5,4.7,0.230,0.020
III,177,2455500.80136,-6.0,4.5,0.228,0.019
III,178,2455500.80913,-5.9,4.6,0.223,0.020
III,179,2455550.63302,5.0,5.4,0.241,0.019
III,180,2455550.63773,5.8,4.8,0.241,0.020
III,181,2455583.60402,-4.7,4.7,0.206,0.021
III,182,2455583.61095,-5.8,4.6,0.208,0.019
III,183,2455583.61601,-3.6,5.2,0.198,0.020
III,184,2455587.59041,-8.0,4.7,0.208,0.020
III,185,2455587.59770,-7.8,5.1,0.209,0.023
III,186,2455587.60575,-1.0,4.7,0.214,0.020
III,187,2455724.91897,-7.6,4.1,0.205,0.021
III,188,2455724.92431,0.5,4.0,0.194,0.019
III,189,2455760.89082,2.4,3.8,0.214,0.023
III,190,2455762.87958,3.9,4.3,0.237,0.026
III,191,2455789.91588,-6.9,4.2,0.218,0.021
III,192,2455792.85616,0.3,4.2,0.213,0.021
III,193,2455811.90309,0.0,7.4,0.199,0.022
III,194,2455816.91453,-4.2,4.6,0.215,0.024
III,195,2455817.84792,-5.7,5.6,0.231,0.027
III,196,2455838.82423,-5.9,6.0,0.220,0.022
III,197,2455845.73598,3.6,4.6,0.204,0.021
III,198,2455870.73590,1.4,4.6,0.195,0.021
III,199,2455872.73492,0.1,4.1,0.205,0.021
III,200,2455876.73095,-3.2,4.7,0.202,0.024
III,201,2455876.73781,-0.7,4.4,0.218,0.025
III,202,2455897.58439,0.3,4.5,0.205,0.023
III,203,2455898.68421,1.9,4.6,0.193,0.019
III,204,2455899.62423,-0.4,4.8,0.214,0.022
III,205,2455909.59589,14.8,5.1,0.211,0.031
III,206,2456106.93289,-8.0,3.9,0.218,0.024
III,207,2456133.95010,-2.3,4.1,0.218,0.025
III,208,2456143.90141,-0.6,3.7,0.233,0.022
III,209,2456171.86893,-0.9,4.8,0.217,0.024
III,210,2456180.84846,0.2,4.6,0.220,0.020
III,211,2456202.80907,-1.8,4.7,0.211,0.022
III,212,2456236.72842,2.4,4.4,0.222,0.020
III,213,2456236.73386,2.6,4.6,0.221,0.018
III,214,2456236.73705,3.7,4.7,0.223,0.020
III,215,2456237.78548,9.0,5.3,0.211,0.017
III,216,2456237.78891,18.2,6.2,0.213,0.017
III,217,2456237.79237,17.8,5.9,0.213,0.019
III,218,2456266.65876,8.7,4.6,0.207,0.019
III,219,2456320.54194,4.4,5.0,0.208,0.019
III,220,2456433.94507,-0.7,4.3,0.191,0.019
III,221,2456433.95315,-1.0,4.3,0.189,0.019
III,222,2456499.96355,8.9,4.1,0.202,0.021
III,223,2456501.88971,19.7,4.8,0.218,0.023
III,224,2456517.94374,-1.9,3.9,0.202,0.022
III,225,2456517.94712,-1.8,4.0,0.201,0.021
III,226,2456517.95046,-2.9,4.0,0.201,0.022
III,227,2456520.88526,-2.1,4.3,0.194,0.021
III,228,2456520.88933,-2.0,4.1,0.200,0.023
III,229,2456521.85016,-1.3,3.9,0.198,0.021
III,230,2456522.98190,2.2,4.1,0.197,0.021
III,231,2456523.98832,-5.0,4.4,0.191,0.020
III,232,2456524.95129,5.0,3.7,0.194,0.020
III,233,2456528.86370,7.1,4.2,0.206,0.022
III,234,2456559.80580,5.3,4.2,0.202,0.020
III,235,2456564.77557,0.0,3.9,0.191,0.021
III,236,2456589.82712,2.0,4.5,0.201,0.020
III,237,2456592.76491,9.3,5.8,0.162,0.020
III,238,2456613.66009,-8.4,4.3,0.189,0.020
III,239,2456614.61250,-5.4,4.2,0.196,0.018
III,240,2456614.62219,-0.7,4.9,0.184,0.020
III,241,2456623.62152,-1.5,4.5,0.188,0.020
III,242,2456640.53121,10.7,4.6,0.205,0.021
III,243,2456643.55984,9.6,4.5,0.192,0.018
III,244,2456672.57386,-1.2,4.3,0.198,0.020
III,245,2456672.57924,-1.1,4.5,0.204,0.019
III,246,2456675.57078,-0.4,6.2,0.212,0.019
III,247,2456675.57624,1.4,5.4,0.212,0.019
III,248,2456697.56864,5.1,4.8,0.201,0.019
III,249,2456817.95533,-3.2,4.8,0.189,0.022
III,250,2456817.96009,-7.8,4.4,0.189,0.022
III,251,2456839.94809,-2.6,3.9,0.206,0.022
III,252,2456839.95225,1.2,3.9,0.211,0.024
III,253,2456859.92103,-0.3,3.9,0.206,0.025
III,254,2456859.92103,5.4,4.0,0.206,0.023
III,255,2456861.88421,-0.3,4.0,0.211,0.023
III,256,2456861.89192,1.1,4.0,0.212,0.024
III,257,2456882.84014,1.9,4.6,0.217,0.022
III,258,2456909.87172,-7.4,4.5,,
III,259,2456933.82872,4.7,4.7,0.225,0.021
III,260,2456933.83215,6.3,4.5,0.228,0.021
III,261,2456933.83566,5.0,4.6,0.224,0.021
III,262,2456937.83429,-2.1,4.2,0.215,0.022
III,263,2456937.84038,1.8,4.5,0.217,0.023
III,264,2456964.58121,-3.3,4.8,0.226,0.020
III,265,2456971.68114,-1.3,4.5,0.213,0.022
III,266,2457003.58914,5.1,5.9,0.237,0.023
