HD,HIP,_tab3_3,RVel,e_RVel,Inst
219134,,2456589.862969,0.02,0.66,apf
219134,,2456590.568368,4.42,0.66,apf
219134,,2456591.799527,3.25,0.67,apf
219134,,2456596.598857,3.29,1.22,apf
219134,,2456597.882566,3.51,0.82,apf
219134,,2456606.702660,3.08,0.82,apf
219134,,2456607.756631,-3.00,0.83,apf
219134,,2456610.793904,-3.77,0.89,apf
219134,,2456611.709546,-1.44,1.15,apf
219134,,2456614.511719,0.55,1.14,apf
219134,,2456619.774718,3.10,0.98,apf
219134,,2456622.959008,-0.86,1.19,apf
219134,,2456624.782287,1.07,1.39,apf
219134,,2456626.568508,-0.72,0.87,apf
219134,,2456628.813094,-3.43,0.80,apf
219134,,2456629.601135,-3.66,1.60,apf
219134,,2456631.799291,-4.96,2.82,apf
219134,,2456632.807509,3.00,1.60,apf
219134,,2456644.788729,21.36,3.21,apf
219134,,2456647.630785,8.57,1.18,apf
219134,,2456648.625593,6.70,1.12,apf
219134,,2456662.766544,3.53,1.07,apf
219134,,2456663.580518,1.35,1.20,apf
219134,,2456667.829222,4.19,1.27,apf
219134,,2456674.675461,1.96,1.00,apf
219134,,2456675.570321,-1.24,0.75,apf
219134,,2456678.648111,-1.14,1.08,apf
219134,,2456679.701494,3.30,1.19,apf
219134,,2456682.766144,6.20,1.62,apf
219134,,2456683.479769,6.99,0.83,apf
219134,,2456689.607452,9.99,1.45,apf
219134,,2456705.723546,3.91,1.27,apf
219134,,2456788.935068,3.81,1.93,apf
219134,,2456792.675492,-1.06,1.01,apf
219134,,2456793.969852,0.89,0.99,apf
219134,,2456796.895271,-1.98,2.26,apf
219134,,2456800.913610,1.33,2.44,apf
219134,,2456801.927245,1.33,2.44,apf
219134,,2456804.895586,-2.24,1.32,apf
219134,,2456805.938493,-3.56,3.06,apf
219134,,2456809.131100,-5.43,1.30,apf
219134,,2456816.835190,-3.36,1.44,apf
219134,,2456817.816451,-4.18,1.20,apf
219134,,2456821.884269,-1.78,1.44,apf
219134,,2456822.847209,5.11,1.56,apf
219134,,2456825.840740,0.21,1.25,apf
219134,,2456826.725024,0.41,0.94,apf
219134,,2456831.755305,3.25,1.18,apf
219134,,2456835.871165,-0.80,1.59,apf
219134,,2456841.680338,4.35,1.29,apf
219134,,2456843.763395,1.24,1.20,apf
219134,,2456857.076534,-2.24,1.27,apf
219134,,2456873.063802,0.69,1.26,apf
219134,,2456878.862025,-0.61,1.03,apf
219134,,2456894.923192,-9.14,1.18,apf
219134,,2456895.858783,-7.85,1.14,apf
219134,,2456898.792267,-8.78,1.33,apf
219134,,2456900.000119,-10.88,1.63,apf
219134,,2456915.846323,-0.61,1.44,apf
219134,,2456917.847490,-1.35,1.42,apf
219134,,2456941.842871,-11.46,1.71,apf
219134,,2457026.656131,2.32,1.44,apf
219134,,2457050.634530,-4.77,1.85,apf
219134,,2457052.657870,5.32,1.31,apf
219134,,2457058.816288,-2.93,1.69,apf
219134,,2457138.887084,-8.97,2.17,apf
219134,,2457140.968977,-6.33,1.44,apf
219134,,2457143.960259,-7.51,1.09,apf
219134,,2457152.046214,-11.66,1.03,apf
219134,,2457153.984889,-5.94,1.22,apf
219134,,2457158.865715,-4.61,1.79,apf
219134,,2457178.975693,-9.70,1.12,apf
219134,,2457179.666782,-13.64,1.20,apf
219134,,2457188.952918,-8.29,1.02,apf
219134,,2457189.790307,-7.74,1.06,apf
219134,,2457191.823727,-10.39,1.32,apf
219134,,2457193.784702,-5.46,1.05,apf
219134,,2457195.847847,-13.36,1.37,apf
219134,,2457196.857305,-7.34,1.08,apf
219134,,2457202.727224,-3.17,1.79,apf
219134,,2457204.607082,-4.58,1.23,apf
219134,,2457207.799755,0.05,1.23,apf
219134,,2457208.873035,2.00,1.15,apf
219134,,2457211.697706,-3.78,1.48,apf
219134,,2457218.050243,-7.02,1.35,apf
219134,,2457218.918737,-7.19,1.29,apf
219134,,2457220.809953,-5.36,1.25,apf
219134,,2457221.918089,-1.11,1.40,apf
219134,,2457222.966602,-7.82,1.30,apf
219134,,2457227.860070,-2.19,1.28,apf
219134,,2457230.044741,-4.88,1.27,apf
219134,,2457232.725477,-8.19,1.35,apf
219134,,2457233.861100,-0.89,1.32,apf
219134,,2457238.800726,-12.07,1.11,apf
219134,,2457243.911806,-8.34,1.02,apf
219134,,2457245.801424,-6.25,1.63,apf
219134,,2457247.857853,-9.35,1.17,apf
219134,,2457249.840033,-1.65,1.32,apf
219134,,2457252.971672,-2.17,1.55,apf
219134,,2457256.809609,-1.92,1.30,apf
219134,,2457258.812277,-9.39,1.51,apf
219134,,2457260.874716,-6.33,1.27,apf
219134,,2457262.952565,-3.98,1.48,apf
219134,,2457267.856424,-6.66,1.49,apf
219134,,2457271.827632,-7.21,1.27,apf
219134,,2457274.894983,-6.37,1.13,apf
219134,,2457292.556903,-7.71,1.23,apf
219134,,2457306.064352,-7.30,1.55,apf
219134,,2457309.067535,-4.66,2.44,apf
219134,,2457332.881086,-10.91,1.79,apf
219134,,2457337.972429,-10.80,1.27,apf
219134,,2457340.677765,-9.99,1.26,apf
219134,,2457354.634474,-5.87,1.85,apf
219134,,2457361.690765,-10.22,1.77,apf
219134,,2457560.850618,-11.14,2.07,apf
219134,,2457567.836174,1.66,1.86,apf
219134,,2457576.757304,-1.01,1.75,apf
219134,,2457581.958557,-1.09,1.57,apf
219134,,2457582.970108,0.07,1.81,apf
219134,,2457584.971980,-5.37,2.15,apf
219134,,2457586.971029,2.01,1.53,apf
219134,,2457587.969384,-0.75,1.98,apf
219134,,2457588.991201,-4.08,2.02,apf
